"RTE_TYP_CD","RTE_ID","RTE_NM","RTE_HIER_NO","RTE_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"OR","27   ","OR 27     ","363","","2007-05-09 00:00:00","ISD849  "
"OR","273  ","OR 273    ","163","","2019-09-03 11:51:12","hwye85p "
"OR","281  ","OR 281    ","162","","2019-09-03 11:51:12","hwye85p "
"OR","282  ","OR 282    ","161","","2019-09-03 11:51:12","hwye85p "
"OR","293  ","OR 293    ","160","","2019-09-03 11:51:12","hwye85p "
"OR","3    ","OR 3      ","395","","2007-05-09 00:00:00","ISD849  "
"OR","31   ","OR 31     ","358","","2007-05-09 00:00:00","ISD849  "
"OR","331  ","OR 331    ","158","","2019-09-03 11:51:12","hwye85p "
"OR","332  ","OR 332    ","157","","2019-09-03 11:51:12","hwye85p "
"OR","334  ","OR 334    ","156","","2019-09-03 11:51:12","hwye85p "
"OR","335  ","OR 335    ","155","","2019-09-03 11:51:12","hwye85p "
"OR","339  ","OR 339    ","154","","2019-09-03 11:51:12","hwye85p "
"OR","34   ","OR 34     ","355","","2007-05-09 00:00:00","ISD849  "
"OR","35   ","OR 35     ","353","","2007-05-09 00:00:00","ISD849  "
"OR","350  ","OR 350    ","153","","2019-09-03 11:51:12","hwye85p "
"OR","351  ","OR 351    ","152","","2019-09-03 11:51:12","hwye85p "
"OR","36   ","OR 36     ","351","","2007-05-09 00:00:00","ISD849  "
"OR","361  ","OR 361    ","151","","2019-09-03 11:51:12","hwye85p "
"OR","37   ","OR 37     ","349","","2007-05-09 00:00:00","ISD849  "
"OR","370  ","OR 370    ","150","","2019-09-03 11:51:12","hwye85p "
"OR","38   ","OR 38     ","347","","2007-05-09 00:00:00","ISD849  "
"OR","380  ","OR 380    ","145","","2019-09-03 11:51:12","hwye85p "
"OR","39   ","OR 39     ","345","","2007-05-09 00:00:00","ISD849  "
"OR","402  ","OR 402    ","140","","2019-09-03 11:51:12","hwye85p "
"OR","410  ","OR 410    ","133","","2019-09-03 11:51:12","hwye85p "
"OR","413  ","OR 413    ","132","","2019-09-03 11:51:12","hwye85p "
"OR","414  ","OR 414    ","131","","2019-09-03 11:51:12","hwye85p "
"OR","42   ","OR 42     ","340","","2007-05-09 00:00:00","ISD849  "
