"CRASH_ID","VHCL_ID","VHCL_CODED_SEQ_NO","VHCL_OWNSHP_CD","VHCL_OWNSHP_SHORT_DESC","VHCL_USE_CD","VHCL_USE_SHORT_DESC","VHCL_TYP_CD","VHCL_TYP_SHORT_DESC","EMRGCY_VHCL_USE_FLG","TRLR_QTY","MVMNT_CD","MVMNT_SHORT_DESC","CMPSS_DIR_FROM_CD","VHCL_CMPSS_DIR_FROM_SHORT_DESC","CMPSS_DIR_TO_CD","VHCL_CMPSS_DIR_TO_SHORT_DESC","ACTN_CD","ACTN_SHORT_DESC","VHCL_CAUSE_1_CD","VHCL_CAUSE_1_SHORT_DESC","VHCL_CAUSE_2_CD","VHCL_CAUSE_2_SHORT_DESC","VHCL_CAUSE_3_CD","VHCL_CAUSE_3_SHORT_DESC","VHCL_EVNT_1_CD","VHCL_EVNT_1_SHORT_DESC","VHCL_EVNT_2_CD","VHCL_EVNT_2_SHORT_DESC","VHCL_EVNT_3_CD","VHCL_EVNT_3_SHORT_DESC","VHCL_SPEED_FLG","VHCL_HIT_RUN_FLG","VHCL_SFTY_EQUIP_USED_QTY","VHCL_SFTY_EQUIP_UNUSED_QTY","VHCL_SFTY_EQUIP_USE_UNKNWN_QTY","VHCL_OCCUP_CNT","STRIKG_VHCL_FLG"
"1836863","3459365","2","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","6","STOP  ","5","S ","1","N ","011","STOPPED  ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","False"
"1836869","3459374","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","","1","STRGHT","1","N ","5","S ","001","SKIDDED  ","00","NO CODE ","","","","","124","SLIPPERY  ","129","HILL INV  ","","","False","False","2","0","0","2","True"
"1836882","3459399","2","0","N/A  ","0","NONE  ","01","PSNGR CAR ","False","9","2","TURN-R","3","E ","1","N ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","0","0","1","1","False"
"1836888","3459408","2","0","N/A  ","0","NONE  ","01","PSNGR CAR ","False","9","1","STRGHT","1","N ","5","S ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","False"
"1836905","3459433","1","0","N/A  ","0","NONE  ","01","PSNGR CAR ","False","9","1","STRGHT","8","NW","4","SE","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","0","0","1","1","True"
"1836909","3459442","2","0","N/A  ","0","NONE  ","01","PSNGR CAR ","False","9","6","STOP  ","3","E ","7","W ","011","STOPPED  ","00","NO CODE ","","","","","","","","","","","False","False","0","0","1","1","False"
"1836922","3459467","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","7","W ","3","E ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","True"
"1836925","3459476","2","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","","1","STRGHT","1","N ","5","S ","022","PREV COL ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","False"
"1836941","3459501","2","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","","3","TURN-L","3","E ","5","S ","015","GO A/STOP","00","NO CODE ","","","","","","","","","","","False","False","3","0","0","3","False"
"1836945","3459506","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","1","N ","5","S ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","True"
