"CRASH_ID","VHCL_ID","PARTIC_ID","PARTIC_DSPLY_SEQ_NO","VHCL_CODED_SEQ_NO","PARTIC_VHCL_SEQ_NO","PARTIC_TYP_CD","PARTIC_TYP_SHORT_DESC","PARTIC_HIT_RUN_FLG","PUB_EMPL_FLG","SEX_CD","AGE_VAL","DRVR_LIC_STAT_CD","DRVR_LIC_STAT_SHORT_DESC","DRVR_RES_STAT_CD","DRVR_RES_SHORT_DESC","INJ_SVRTY_CD","INJ_SVRTY_SHORT_DESC","SFTY_EQUIP_USE_CD","SFTY_EQUIP_USE_SHORT_DESC","AIRBAG_DEPLOY_IND","MVMNT_CD","MVMNT_SHORT_DESC","CMPSS_DIR_FROM_CD","PARTIC_CMPSS_DIR_FROM_SHORT_DESC","CMPSS_DIR_TO_CD","PARTIC_CMPSS_DIR_TO_SHORT_DESC","NON_MOTRST_LOC_CD","NON_MOTRST_LOC_SHORT_DESC","ACTN_CD","ACTN_SHORT_DESC","PARTIC_ERR_1_CD","PARTIC_ERR_1_SHORT_DESC","PARTIC_ERR_2_CD","PARTIC_ERR_2_SHORT_DESC","PARTIC_ERR_3_CD","PARTIC_ERR_3_SHORT_DESC","PARTIC_CAUSE_1_CD","PARTIC_CAUSE_1_SHORT_DESC","PARTIC_CAUSE_2_CD","PARTIC_CAUSE_2_SHORT_DESC","PARTIC_CAUSE_3_CD","PARTIC_CAUSE_3_SHORT_DESC","PARTIC_EVNT_1_CD","PARTIC_EVNT_1_SHORT_DESC","PARTIC_EVNT_2_CD","PARTIC_EVNT_2_SHORT_DESC","PARTIC_EVNT_3_CD","PARTIC_EVNT_3_SHORT_DESC","BAC_VAL","ALCHL_USE_RPT_IND","DRUG_USE_RPT_IND","MJ_USE_RPT_IND","STRIKG_PARTIC_FLG"
"1829431","3445248","3924217","2","1","2","2","PSNG","False","False","2","18","","","","","4","INJC","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1864563","3510809","3998087","1","1","1","1","DRVR","False","False","9","00","9","UNK  ","9","UNK  ","9","NONE","9","UNK       ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","0","0","3","False"
"1836015","3457765","3939108","2","2","1","1","DRVR","False","False","9","00","9","UNK  ","9","UNK  ","9","NONE","9","UNK       ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1836100","3457915","3939278","3","2","1","1","DRVR","False","False","1","42","1","OR-Y ","1","OR<25","4","INJC","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","0","0","3","False"
"1836285","3458251","3939663","1","1","1","1","DRVR","False","False","2","58","2","OTH-Y","4","N-RES","4","INJC","2","BELT      ","1","","","","","","","","","038","DISTRACT ","052","CARELESS  ","042","F/SLO MV  ","","","32","CARELESS","27","INATTENT","07","TOO-CLOS","115","DSTRCT GPS","","","","","86","0","0","3","False"
"1836310","3458301","3939729","8","2","2","2","PSNG","False","False","2","62","","","","","3","INJB","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1791009","3375641","3848209","1","1","1","1","DRVR","False","False","1","84","1","OR-Y ","1","OR<25","1","KILL","2","BELT      ","1","","","","","","","","","000","NONE     ","079","F NEG CURV","","","","","10","OTHR-IMP","","","","","","","","","","","","0","0","3","False"
"1829527","3445433","3924451","1","1","1","1","DRVR","False","False","2","46","1","OR-Y ","1","OR<25","4","INJC","2","BELT      ","1","","","","","","","","","028","ILLNESS  ","047","BASCRULE  ","026","REAR-END  ","","","17","ILLNESS ","01","TOO-FAST","29","F AVOID ","","","","","","","86","0","0","3","False"
"1829532","3445447","3924468","5","4","1","1","DRVR","False","False","1","81","2","OTH-Y","4","N-RES","9","NONE","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","12","OTHER   ","","","","","","","","","","","86","0","0","3","False"
"1829701","3445784","3924887","2","2","1","1","DRVR","False","False","1","51","1","OR-Y ","1","OR<25","9","NONE","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","0","0","3","False"
