"CRASH_ID","VHCL_ID","VHCL_CODED_SEQ_NO","VHCL_OWNSHP_CD","VHCL_OWNSHP_SHORT_DESC","VHCL_USE_CD","VHCL_USE_SHORT_DESC","VHCL_TYP_CD","VHCL_TYP_SHORT_DESC","EMRGCY_VHCL_USE_FLG","TRLR_QTY","MVMNT_CD","MVMNT_SHORT_DESC","CMPSS_DIR_FROM_CD","VHCL_CMPSS_DIR_FROM_SHORT_DESC","CMPSS_DIR_TO_CD","VHCL_CMPSS_DIR_TO_SHORT_DESC","ACTN_CD","ACTN_SHORT_DESC","VHCL_CAUSE_1_CD","VHCL_CAUSE_1_SHORT_DESC","VHCL_CAUSE_2_CD","VHCL_CAUSE_2_SHORT_DESC","VHCL_CAUSE_3_CD","VHCL_CAUSE_3_SHORT_DESC","VHCL_EVNT_1_CD","VHCL_EVNT_1_SHORT_DESC","VHCL_EVNT_2_CD","VHCL_EVNT_2_SHORT_DESC","VHCL_EVNT_3_CD","VHCL_EVNT_3_SHORT_DESC","VHCL_SPEED_FLG","VHCL_HIT_RUN_FLG","VHCL_SFTY_EQUIP_USED_QTY","VHCL_SFTY_EQUIP_UNUSED_QTY","VHCL_SFTY_EQUIP_USE_UNKNWN_QTY","VHCL_OCCUP_CNT","STRIKG_VHCL_FLG"
"1931955","3630665","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","0","UN","0","UN","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","True"
"1931961","3630674","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","3","E ","7","W ","006","SLOW DN  ","00","NO CODE ","","","","","124","SLIPPERY  ","","","","","False","False","1","0","0","1","True"
"1931961","3630675","2","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","4","U-TURN","3","E ","3","E ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","0","1","0","1","False"
"1931961","3630676","3","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","7","W ","3","E ","022","PREV COL ","00","NO CODE ","","","","","","","","","","","False","False","3","0","0","3","False"
"1931964","3630681","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","7","W ","3","E ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","True"
"1931968","3630688","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","0","UN","0","UN","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","True","0","0","1","1","True"
"1932374","3631469","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","3","E ","7","W ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","True"
"1932392","3631501","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","0","UN","0","UN","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","True"
"1932740","3632142","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","0","UN","0","UN","000","NONE     ","00","NO CODE ","","","","","062","TREE      ","079","DITCH     ","","","False","False","0","0","1","1","True"
"1932854","3632357","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","3","TURN-L","7","W ","1","N ","000","NONE     ","00","NO CODE ","","","","","053","POLE UTL  ","091","BUILDING  ","","","False","False","0","0","1","1","True"
"1933356","3633267","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","5","S ","1","N ","000","NONE     ","00","NO CODE ","","","","","079","DITCH     ","010","SUB OTRN  ","","","False","False","0","1","0","1","True"
"1933404","3633360","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","7","W ","3","E ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","True"
"1933404","3633361","2","1","PRVTE","0","NONE  ","05","TRUCK     ","False","0","1","STRGHT","3","E ","7","W ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","False"
"1933415","3633383","1","1","PRVTE","0","NONE  ","09","MTRCYCLE  ","False","0","1","STRGHT","0","UN","0","UN","000","NONE     ","00","NO CODE ","","","","","079","DITCH     ","","","","","False","False","0","0","1","1","True"
"1933583","3633691","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","3","E ","7","W ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","True"
"1933652","3633820","1","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","1","STRGHT","7","W ","3","E ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","1","0","0","1","True"
"1933666","3633850","1","1","PRVTE","0","NONE  ","09","MTRCYCLE  ","False","0","1","STRGHT","5","S ","1","N ","000","NONE     ","00","NO CODE ","","","","","","","","","","","False","False","0","1","0","1","True"
"1933666","3633851","2","1","PRVTE","0","NONE  ","01","PSNGR CAR ","False","0","7","PRKD-P","5","S ","1","N ","008","PAR PARK ","00","NO CODE ","","","","","","","","","","","False","False","0","0","0","0","False"
