"CRASH_ID","SER_NO","CRASH_DT","CRASH_MO_NO","CRASH_DAY_NO","CRASH_YR_NO","CRASH_WK_DAY_CD","CRASH_HR_NO","CRASH_HR_SHORT_DESC","CNTY_ID","CNTY_NM","CITY_SECT_ID","CITY_SECT_NM","URB_AREA_CD","URB_AREA_SHORT_NM","FC_CD","FC_SHORT_DESC","NHS_FLG","HWY_NO","HWY_SFX_NO","HWY_MED_NM","RDWY_NO","HWY_COMPNT_CD","HWY_COMPNT_SHORT_DESC","MLGE_TYP_CD","MLGE_TYP_SHORT_DESC","RD_CON_NO","LRS_VAL","LAT_DEG_NO","LAT_MINUTE_NO","LAT_SEC_NO","LONGTD_DEG_NO","LONGTD_MINUTE_NO","LONGTD_SEC_NO","LAT_DD","LONGTD_DD","SPECL_JRSDCT_ID","SPECL_JRSDCT_SHORT_DESC","JRSDCT_GRP_CD","JRSDCT_GRP_LONG_DESC","AGY_ST_NO","ST_FULL_NM","RECRE_RD_NM","ISECT_AGY_ST_NO","ISECT_ST_FULL_NM","ISECT_RECRE_RD_NM","ISECT_SEQ_NO","FROM_ISECT_DSTNC_QTY","CMPSS_DIR_CD","MP_NO","POST_SPEED_LMT_VAL","RD_CHAR_CD","RD_CHAR_SHORT_DESC","OFF_RDWY_FLG","ISECT_TYP_CD","ISECT_TYP_SHORT_DESC","ISECT_REL_FLG","RNDABT_FLG","DRVWY_REL_FLG","LN_QTY","TURNG_LEG_QTY","MEDN_TYP_CD","MEDN_TYP_SHORT_DESC","IMPCT_LOC_CD","CRASH_TYP_CD","CRASH_TYP_SHORT_DESC","COLLIS_TYP_CD","COLLIS_TYP_SHORT_DESC","CRASH_SVRTY_CD","CRASH_SVRTY_SHORT_DESC","WTHR_COND_CD","WTHR_COND_SHORT_DESC","RD_SURF_COND_CD","RD_SURF_SHORT_DESC","LGT_COND_CD","LGT_COND_SHORT_DESC","TRAF_CNTL_DEVICE_CD","TRAF_CNTL_DEVICE_SHORT_DESC","TRAF_CNTL_FUNC_FLG","INVSTG_AGY_CD","INVSTG_AGY_SHORT_DESC","CRASH_EVNT_1_CD","CRASH_EVNT_1_SHORT_DESC","CRASH_EVNT_2_CD","CRASH_EVNT_2_SHORT_DESC","CRASH_EVNT_3_CD","CRASH_EVNT_3_SHORT_DESC","CRASH_CAUSE_1_CD","CRASH_CAUSE_1_SHORT_DESC","CRASH_CAUSE_2_CD","CRASH_CAUSE_2_SHORT_DESC","CRASH_CAUSE_3_CD","CRASH_CAUSE_3_SHORT_DESC","SCHL_ZONE_IND","WRK_ZONE_IND","SCNDRY_CRASH_IND","ALCHL_INVLV_FLG","DRUG_INVLV_FLG","MJ_INVLV_FLG","CRASH_SPEED_INVLV_FLG","CRASH_HIT_RUN_FLG","POP_RNG_CD","POP_RNG_MED_DESC","RD_CNTL_CD","RD_CNTL_MED_DESC","RTE_TYP_CD","RTE_ID","RTE_NM","REG_ID","DIST_ID","SEG_MRK_ID","SEG_PT_LRS_MEAS","UNLOCT_FLG","CRASH_LAST_UD_DT","TOT_VHCL_CNT","TOT_FATAL_CNT","TOT_INJ_LVL_A_CNT","TOT_INJ_LVL_B_CNT","TOT_INJ_LVL_C_CNT","TOT_INJ_CNT","TOT_UNINJD_AGE00_04_CNT","TOT_UNINJD_PER_CNT","TOT_PED_CNT","TOT_PED_FATAL_CNT","TOT_PED_INJ_LVL_A_CNT","TOT_PED_INJ_CNT","TOT_PEDCYCL_CNT","TOT_PEDCYCL_FATAL_CNT","TOT_PEDCYCL_INJ_LVL_A_CNT","TOT_PEDCYCL_INJ_CNT","TOT_UNKNWN_CNT","TOT_UNKNWN_FATAL_CNT","TOT_UNKNWN_INJ_CNT","TOT_OCCUP_CNT","TOT_PER_INVLV_CNT","TOT_SFTY_EQUIP_USED_QTY","TOT_SFTY_EQUIP_UNUSED_QTY","TOT_SFTY_EQUIP_USE_UNKNOWN_QTY","TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT","TOT_MCYCLST_FATAL_CNT","TOT_MCYCLST_INJ_LVL_A_CNT","TOT_MCYCLST_INJ_CNT","TOT_MCYCLST_UNHELMTD_FATAL_CNT","TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT","TOT_DRVR_AGE_01_20_CNT","LANE_RDWY_DPRT_CRASH_FLG"
"1933415","00238","2022-01-24 00:00:00","01","24","2022","2","23","11P","03","Clackamas","","","","","07","R MJ-COL","False","","","","","","","","","","","45","21","10.220000000000000","-122","14","6.630000000000000","45.352838235909480","-122.235175358824970","","","","","25045  ","SE FIRWOOD RD               ","","","                            ","","","","0","2.26","25","5","CURVE   ","True","","","False","False","False","2","","0","NONE ","01","8","FIX OBJ   ","9","FIX     ","2","FAT","2","CLD ","1","DRY ","3","DARK","014","NO-PASS-ZN","True","2","COUNTY","079","DITCH     ","001","FEL/JUMP  ","","","01","TOO-FAST","","","","","0","0","0","True","True","False","True","False","","","6","RURAL COUNTY ROAD","","","","1","02C","58_315788","","False","2023-06-19 10:01:00","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","Y"
"1933583","00001","2022-01-26 00:00:00","01","26","2022","4","07","7A ","36","Yamhill","126","McMinnville","43","MCMINVL UA     ","17","U MJ-COL","False","","","","","","","","","","","45","12","59.320000000000000","-123","10","20.070000000000000","45.216478576390514","-123.172242686806000","","","","","02102  ","RIVERSIDE DR                ","","00122  ","ALPHA DR                    ","","1","25","7","","35","3","STRGHT  ","False","","","True","False","False","2","","0","NONE ","05","3","PED       ","0","PED     ","2","FAT","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","3","CITY  ","093","CELL PHONE","","","","","19","NT VISBL","","","","","0","1","0","False","False","False","False","False","6","25,001 to 50,000","3","URBAN CITY STREET ","","","","2","03 ","44_14919","","False","2024-04-09 17:38:53","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","N"
"1933652","00704","2022-01-29 00:00:00","01","29","2022","7","21","9P ","26","Multnomah","245","Portland SE","57","PORTLAND UA    ","14","U PR-ART","True","","","","","","","","","","","45","30","15.490000000000000","-122","33","28.940000000000000","45.504304123477134","-122.558037855295250","","","","","00614  ","SE DIVISION ST              ","","05103  ","SE 103RD AVE                ","","1","122","7","","30","3","STRGHT  ","False","","","False","False","False","4","","0","NONE ","08","3","PED       ","0","PED     ","2","FAT","1","CLR ","1","DRY ","2","DLIT","099","UNKNOWN   ","True","3","CITY  ","","","","","","","18","IN RDWY ","19","NT VISBL","02","NO-YIELD","0","0","0","True","False","False","False","False","9","Over 200,000","1","PORTLAND CITY STREET","","","","1","02B","58_140828","","False","2024-04-09 18:27:18","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","N"
"1933666","99998","2022-01-30 00:00:00","01","30","2022","1","20","8P ","15","Jackson","","","44","MEDFORD UA     ","19","U LOCAL ","False","","","","","","","","","","","42","25","57.830000000000000","-122","49","46.980000000000000","42.432731862851950","-122.829715416225920","","","","","01046  ","THUNDERHEAD AVE             ","","01047  ","AVE 'E'(WHITE CITY)         ","","1","4","1","","25","3","STRGHT  ","True","","","False","False","False","2","","0","NONE ","07","2","PRKD MV   ","3","REAR    ","2","FAT","1","CLR ","1","DRY ","2","DLIT","099","UNKNOWN   ","True","2","COUNTY","","","","","","","30","SPEED   ","","","","","0","0","0","True","True","False","True","False","","","9","SUBURBAN COUNTY ROAD","","","","3","08 ","142_11362","","False","2023-06-19 10:10:27","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","1","1","0","Y"
"1933697","00303","2022-01-31 00:00:00","01","31","2022","2","18","6P ","09","Deschutes","","","","","07","R MJ-COL","False","","","","","","","","","","","44","7","50.140000000000000","-121","1","38.160000000000000","44.130594275477930","-121.027265731825000","","","","","03192  ","JOHNSON RANCH RD            ","","03188  ","MCUNE RD                    ","","1","65","1","","","5","CURVE   ","True","","","False","False","False","2","","0","NONE ","07","8","FIX OBJ   ","9","FIX     ","2","FAT","1","CLR ","1","DRY ","3","DARK","099","UNKNOWN   ","True","1","STATE ","001","FEL/JUMP  ","079","DITCH     ","","","30","SPEED   ","05","LEFT-CTR","","","0","0","0","True","True","False","True","False","","","6","RURAL COUNTY ROAD","","","","4","10 ","11_10016595","","False","2023-06-19 10:13:29","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","1","0","Y"
"1933716","99999","2022-02-05 00:00:00","02","05","2022","7","01","1A ","10","Douglas","174","Reedsport","","","09","R LOCAL ","False","","","","","","","","","","","43","42","20.110000000000000","-124","5","49.350000000000000","43.705586253499530","-124.097040319762270","","","","","00702  ","E RAILROAD AVE              ","","02109  ","RIVERFRONT WAY              ","","1","0","8","","","1","INTER   ","True","3","3-LEG  ","False","False","False","","0","","","05","8","FIX OBJ   ","9","FIX     ","2","FAT","0","UNK ","0","UNK ","3","DARK","099","UNKNOWN   ","True","3","CITY  ","072","OTHER WALL","","","","","30","SPEED   ","","","","","","","","True","False","False","True","False","2","1,001 to 2,500","7","RURAL CITY STREET ","","","","3","07 ","255_200590","","False","2024-04-09 18:02:50","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","1","0","N"
"1933717","00001","2022-02-08 00:00:00","02","08","2022","3","02","2A ","03","Clackamas","","","","","07","R MJ-COL","False","","","","","","","","","","","45","22","0.640000000000000","-122","13","52.780000000000000","45.366844423165830","-122.231328988658740","","","","","25045  ","SE FIRWOOD RD               ","","","                            ","","","","0","1.06","55","5","CURVE   ","True","","","False","False","False","2","","0","NONE ","01","8","FIX OBJ   ","9","FIX     ","2","FAT","2","CLD ","1","DRY ","3","DARK","099","UNKNOWN   ","True","2","COUNTY","062","TREE      ","","","","","10","OTHR-IMP","","","","","0","0","0","False","True","False","False","False","","","6","RURAL COUNTY ROAD","","","","1","02C","58_313386","","False","2023-07-13 12:26:52","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","Y"
"1933718","00001","2022-02-09 00:00:00","02","09","2022","4","17","5P ","17","Josephine","","","","","07","R MJ-COL","False","","","","","","","","","","","42","22","4.610000000000000","-123","26","54.870000000000000","42.367947460382870","-123.448574245271490","","","","","03900  ","FISH HATCHERY RD            ","","","                            ","","","","0","4.5","55","5","CURVE   ","True","","","False","False","False","2","","0","NONE ","01","8","FIX OBJ   ","9","FIX     ","2","FAT","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","2","COUNTY","046","BR RAIL   ","086","IMMERSED  ","","","10","OTHR-IMP","","","","","0","0","0","True","False","False","False","False","","","6","RURAL COUNTY ROAD","","","","3","08 ","142_19673","","False","2023-07-13 16:15:00","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","1","0","Y"
"1933723","00144","2022-02-12 00:00:00","02","12","2022","7","09","9A ","03","Clackamas","","","57","PORTLAND UA    ","18","U MN-COL","False","","","","","","","","","","","45","26","35.520000000000000","-122","23","32.460000000000000","45.443198698485650","-122.392350195117940","","","","","13013  ","SE SUNSHINE VALLEY RD       ","","","                            ","","","","0","0.36","","5","CURVE   ","True","","","False","False","False","2","","0","NONE ","01","8","FIX OBJ   ","9","FIX     ","2","FAT","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","2","COUNTY","073","IRRGL PVMT","053","POLE UTL  ","079","DITCH     ","01","TOO-FAST","","","","","0","0","0","False","True","False","True","False","","","9","SUBURBAN COUNTY ROAD","","","","1","02C","58_302439","","False","2022-09-02 06:50:38","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","Y"
"1933730","00005","2022-02-14 00:00:00","02","14","2022","2","07","7A ","33","Wasco","","","","","07","R MJ-COL","False","","","","","","","","","","","45","10","53.390000000000000","-120","56","54.900000000000000","45.181497465033736","-120.948583704540210","","","","","00016  ","BAKEOVEN RD                 ","","","                            ","","","","0","8.13","55","5","CURVE   ","True","","","False","False","False","2","","0","NONE ","07","8","FIX OBJ   ","9","FIX     ","2","FAT","0","UNK ","1","DRY ","0","UNK ","099","UNKNOWN   ","True","2","COUNTY","060","MARKER    ","001","FEL/JUMP  ","085","WIND GUST ","10","OTHR-IMP","","","","","0","0","0","False","False","False","False","False","","","6","RURAL COUNTY ROAD","","","","4","09 ","26_33000024","","False","2022-08-30 10:32:15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","Y"
