"CRASH_ID","VHCL_ID","PARTIC_ID","PARTIC_DSPLY_SEQ_NO","VHCL_CODED_SEQ_NO","PARTIC_VHCL_SEQ_NO","PARTIC_TYP_CD","PARTIC_TYP_SHORT_DESC","PARTIC_HIT_RUN_FLG","PUB_EMPL_FLG","SEX_CD","AGE_VAL","DRVR_LIC_STAT_CD","DRVR_LIC_STAT_SHORT_DESC","DRVR_RES_STAT_CD","DRVR_RES_SHORT_DESC","INJ_SVRTY_CD","INJ_SVRTY_SHORT_DESC","SFTY_EQUIP_USE_CD","SFTY_EQUIP_USE_SHORT_DESC","AIRBAG_DEPLOY_IND","MVMNT_CD","MVMNT_SHORT_DESC","CMPSS_DIR_FROM_CD","PARTIC_CMPSS_DIR_FROM_SHORT_DESC","CMPSS_DIR_TO_CD","PARTIC_CMPSS_DIR_TO_SHORT_DESC","NON_MOTRST_LOC_CD","NON_MOTRST_LOC_SHORT_DESC","ACTN_CD","ACTN_SHORT_DESC","PARTIC_ERR_1_CD","PARTIC_ERR_1_SHORT_DESC","PARTIC_ERR_2_CD","PARTIC_ERR_2_SHORT_DESC","PARTIC_ERR_3_CD","PARTIC_ERR_3_SHORT_DESC","PARTIC_CAUSE_1_CD","PARTIC_CAUSE_1_SHORT_DESC","PARTIC_CAUSE_2_CD","PARTIC_CAUSE_2_SHORT_DESC","PARTIC_CAUSE_3_CD","PARTIC_CAUSE_3_SHORT_DESC","PARTIC_EVNT_1_CD","PARTIC_EVNT_1_SHORT_DESC","PARTIC_EVNT_2_CD","PARTIC_EVNT_2_SHORT_DESC","PARTIC_EVNT_3_CD","PARTIC_EVNT_3_SHORT_DESC","BAC_VAL","ALCHL_USE_RPT_IND","DRUG_USE_RPT_IND","MJ_USE_RPT_IND","STRIKG_PARTIC_FLG"
"1931955","3630665","4130558","1","1","1","1","DRVR","False","False","1","83","1","OR-Y ","1","OR<25","9","NONE","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","00","0","0","0","False"
"1931955","","4130559","2","","1","3","PED ","False","False","2","89","","","","","1","KILL","","","","0","UNK   ","0","UN","0","UN","03","I XWK?   ","035","X W/ SGNL","000","NONE      ","","","","","18","IN RDWY ","","","","","","","","","","","00","1","1","0","False"
"1931961","3630674","4130568","1","1","1","1","DRVR","False","False","1","18","1","OR-Y ","1","OR<25","9","NONE","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","0","0","3","False"
"1931961","3630675","4130569","2","2","1","1","DRVR","False","False","1","33","1","OR-Y ","1","OR<25","1","KILL","0","NONE      ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","9","9","9","False"
"1931961","3630676","4130570","3","3","1","1","DRVR","False","False","1","67","1","OR-Y ","2","OR>25","9","NONE","2","BELT      ","","","","","","","","","","000","NONE     ","008","ILLEG U   ","","","","","08","IMP-TURN","","","","","","","","","","","86","0","0","3","False"
"1931964","3630681","4130576","1","1","1","1","DRVR","False","False","1","51","1","OR-Y ","1","OR<25","9","NONE","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","","","","False"
"1931964","","4130577","2","","1","3","PED ","False","False","1","59","","","","","1","KILL","","","","1","STRGHT","1","N ","5","S ","04","ROAD     ","000","NONE     ","057","BTWN INT  ","","","","","18","IN RDWY ","19","NT VISBL","","","","","","","","","29","9","1","0","False"
"1931968","3630688","4130584","1","1","1","1","DRVR","True","False","1","28","9","UNK  ","1","OR<25","9","NONE","9","UNK       ","9","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","9","9","9","False"
"1931968","","4130585","2","","1","3","PED ","False","False","2","44","","","","","1","KILL","","","","1","STRGHT","0","UN","0","UN","04","ROAD     ","000","NONE     ","057","BTWN INT  ","","","","","18","IN RDWY ","19","NT VISBL","","","","","","","","","10","1","1","2","False"
"1932374","3631469","4131514","1","1","1","1","DRVR","False","False","1","43","1","OR-Y ","1","OR<25","9","NONE","2","BELT      ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","0","0","3","False"
"1932374","","4131515","2","","1","3","PED ","False","False","2","52","","","","","1","KILL","","","","0","UNK   ","0","UN","0","UN","04","ROAD     ","088","OTHER    ","000","NONE      ","","","","","18","IN RDWY ","19","NT VISBL","","","","","","","","","00","0","1","2","False"
"1932392","3631501","4131556","1","1","1","1","DRVR","False","False","1","57","1","OR-Y ","1","OR<25","1","KILL","2","BELT      ","9","","","","","","","","","000","NONE     ","079","F NEG CURV","081","OFF RD    ","","","10","OTHR-IMP","","","","","","","","","","","00","","1","2","False"
"1932740","3632142","4132331","1","1","1","1","DRVR","False","False","1","46","0","NONE ","1","OR<25","1","KILL","9","UNK       ","9","","","","","","","","","000","NONE     ","016","INATTENT  ","","","","","27","INATTENT","","","","","","","","","","","09","9","1","2","False"
"1932854","3632357","4132573","1","1","1","1","DRVR","False","False","1","41","3","SUSP ","1","OR<25","3","INJB","9","UNK       ","9","","","","","","","","","017","LOSTCTRL ","001","WIDE TRN  ","081","OFF RD    ","051","RECKLESS  ","33","RECKLESS","08","IMP-TURN","","","","","","","","","24","1","","","False"
"1932854","","4132574","2","","1","9","OTHR","False","False","2","67","","","","","1","KILL","","","","0","UNK   ","0","UN","0","UN","10","B/TRAF   ","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","005","SUB-PED   ","","","","","00","","1","0","False"
"1932854","","4132575","3","","2","9","OTHR","False","False","1","63","","","","","1","KILL","","","","0","UNK   ","0","UN","0","UN","10","B/TRAF   ","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","005","SUB-PED   ","","","","","","","","","False"
"1933356","3633267","4133660","1","1","1","1","DRVR","False","False","1","43","1","OR-Y ","1","OR<25","1","KILL","0","NONE      ","0","","","","","","","","","017","LOSTCTRL ","079","F NEG CURV","081","OFF RD    ","","","10","OTHR-IMP","","","","","","","","","","","19","1","9","2","False"
"1933404","3633360","4133771","1","1","1","1","DRVR","False","False","1","80","1","OR-Y ","1","OR<25","1","KILL","2","BELT      ","","","","","","","","","","000","NONE     ","039","WRNGSIDE  ","","","","","05","LEFT-CTR","","","","","","","","","","","","9","9","9","False"
"1933404","3633361","4133772","2","2","1","1","DRVR","False","False","1","54","1","OR-Y ","1","OR<25","4","INJC","2","BELT      ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","0","0","3","False"
"1933415","3633383","4133795","1","1","1","1","DRVR","False","False","1","31","1","OR-Y ","1","OR<25","1","KILL","9","UNK       ","","","","","","","","","","000","NONE     ","047","BASCRULE  ","079","F NEG CURV","081","OFF RD    ","01","TOO-FAST","","","","","001","FEL/JUMP  ","","","","","19","9","1","2","False"
"1933583","3633691","4134173","1","1","1","1","DRVR","False","False","1","84","1","OR-Y ","1","OR<25","9","NONE","2","BELT      ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","0","9","2","False"
"1933583","","4134174","2","","1","3","PED ","False","False","1","60","","","","","1","KILL","","","","0","UNK   ","0","UN","0","UN","07","B/SHLD   ","050","LAY ON RD","070","LAY ON RD ","","","","","19","NT VISBL","","","","","093","CELL PHONE","","","","","","","","","False"
"1933652","3633820","4134327","1","1","1","1","DRVR","False","False","1","38","1","OR-Y ","1","OR<25","9","NONE","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","0","0","0","False"
"1933652","","4134328","2","","1","3","PED ","False","False","1","56","","","","","1","KILL","","","","1","STRGHT","1","N ","5","S ","04","ROAD     ","037","BTWN INT ","028","NO ROW    ","057","BTWN INT  ","","","18","IN RDWY ","19","NT VISBL","02","NO-YIELD","","","","","","","40","0","0","0","False"
"1933666","3633850","4134363","1","1","1","1","DRVR","False","False","1","30","8","N-VAL","1","OR<25","1","KILL","0","NONE      ","","","","","","","","","","000","NONE     ","050","SPEED     ","026","REAR-END  ","","","30","SPEED   ","","","","","","","","","","","22","1","1","0","False"
"1933697","3633908","4134425","1","1","1","1","DRVR","False","False","2","50","1","OR-Y ","1","OR<25","1","KILL","0","NONE      ","1","","","","","","","","","017","LOSTCTRL ","050","SPEED     ","039","WRNGSIDE  ","073","ELUDING   ","30","SPEED   ","05","LEFT-CTR","","","001","FEL/JUMP  ","","","","","40","1","1","0","False"
"1933716","3633938","4134459","1","1","1","1","DRVR","False","False","1","53","8","N-VAL","1","OR<25","1","KILL","6","HELM      ","","","","","","","","","","000","NONE     ","050","SPEED     ","081","OFF RD    ","","","30","SPEED   ","","","","","","","","","","","15","1","9","2","False"
"1933717","3633939","4134460","1","1","1","1","DRVR","False","False","1","55","1","OR-Y ","1","OR<25","1","KILL","0","NONE      ","1","","","","","","","","","000","NONE     ","079","F NEG CURV","081","OFF RD    ","","","10","OTHR-IMP","","","","","","","","","","","00","9","1","0","False"
"1933718","3633940","4134461","1","1","1","1","DRVR","False","False","1","40","3","SUSP ","1","OR<25","1","KILL","0","NONE      ","0","","","","","","","","","000","NONE     ","079","F NEG CURV","081","OFF RD    ","","","10","OTHR-IMP","","","","","","","","","","","24","1","9","2","False"
"1933723","3633949","4134473","1","1","1","1","DRVR","False","False","1","48","3","SUSP ","1","OR<25","1","KILL","9","UNK       ","1","","","","","","","","","017","LOSTCTRL ","047","BASCRULE  ","081","OFF RD    ","","","01","TOO-FAST","","","","","","","","","","","00","9","1","0","False"
"1933730","3633963","4134489","1","1","1","1","DRVR","False","False","1","62","0","NONE ","1","OR<25","1","KILL","9","UNK       ","","","","","","","","","","000","NONE     ","081","OFF RD    ","","","","","10","OTHR-IMP","","","","","001","FEL/JUMP  ","","","","","","9","9","9","False"
"1933738","3633977","4134504","1","1","1","1","DRVR","True","False","9","00","9","UNK  ","9","UNK  ","9","NONE","9","UNK       ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","9","9","9","False"
"1933738","","4134505","2","","1","3","PED ","False","False","1","56","","","","","1","KILL","","","","0","UNK   ","0","UN","0","UN","04","ROAD     ","050","LAY ON RD","070","LAY ON RD ","","","","","18","IN RDWY ","19","NT VISBL","","","","","","","","","21","9","9","2","False"
"1933747","3633991","4134520","1","1","1","1","DRVR","False","False","1","43","1","OR-Y ","1","OR<25","1","KILL","6","HELM      ","","","","","","","","","","000","NONE     ","047","BASCRULE  ","","","","","01","TOO-FAST","","","","","001","FEL/JUMP  ","","","","","00","9","0","0","False"
"1933755","3634005","4134538","1","1","1","1","DRVR","False","False","1","26","2","OTH-Y","4","N-RES","1","KILL","0","NONE      ","1","","","","","","","","","000","NONE     ","079","F NEG CURV","081","OFF RD    ","","","10","OTHR-IMP","","","","","","","","","","","00","9","9","2","False"
"1934623","3635636","4136462","1","1","1","1","DRVR","True","False","1","47","0","NONE ","1","OR<25","9","NONE","9","UNK       ","9","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","","","","False"
"1934623","","4136463","2","","1","3","PED ","False","False","1","41","","","","","1","KILL","","","","1","STRGHT","5","S ","1","N ","07","B/SHLD   ","037","BTWN INT ","016","INATTENT  ","057","BTWN INT  ","","","18","IN RDWY ","19","NT VISBL","28","NM INATT","","","","","","","33","","0","0","False"
"1934624","3635637","4136464","1","1","1","1","DRVR","False","False","1","57","1","OR-Y ","1","OR<25","1","KILL","0","NONE      ","9","","","","","","","","","017","LOSTCTRL ","047","BASCRULE  ","079","F NEG CURV","081","OFF RD    ","01","TOO-FAST","","","","","","","","","","","16","9","1","0","False"
"1934625","3635638","4136465","1","1","1","1","DRVR","True","False","2","23","1","OR-Y ","1","OR<25","9","NONE","9","UNK       ","9","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","9","9","9","False"
"1934625","","4136466","2","","1","3","PED ","False","False","1","46","","","","","1","KILL","","","","0","UNK   ","0","UN","0","UN","99","UNK      ","000","NONE     ","016","INATTENT  ","","","","","18","IN RDWY ","19","NT VISBL","27","INATTENT","","","","","","","00","9","1","0","False"
"1934626","3635639","4136467","1","1","1","1","DRVR","False","False","1","37","1","OR-Y ","1","OR<25","1","KILL","0","NONE      ","1","","","","","","","","","017","LOSTCTRL ","050","SPEED     ","081","OFF RD    ","","","30","SPEED   ","","","","","001","FEL/JUMP  ","","","","","15","9","9","2","False"
"1935164","3636650","4137666","1","1","1","1","DRVR","False","False","1","25","1","OR-Y ","1","OR<25","2","INJA","0","NONE      ","","","","","","","","","","000","NONE     ","051","RECKLESS  ","079","F NEG CURV","","","33","RECKLESS","","","","","","","","","","","13","1","1","3","False"
"1935164","3636650","4137667","2","1","2","2","PSNG","False","False","1","19","","","","","1","KILL","0","NONE      ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","11","1","0","0","False"
"1935164","3636650","4137668","3","1","3","2","PSNG","False","False","1","19","","","","","2","INJA","0","NONE      ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1935164","3636650","4137669","4","1","4","2","PSNG","False","False","2","17","","","","","2","INJA","0","NONE      ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1935211","3636736","4137770","1","1","1","1","DRVR","False","False","2","43","1","OR-Y ","1","OR<25","3","INJB","0","NONE      ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","12","OTHER   ","","","","","","","","","","","","","","","False"
"1935211","3636736","4137771","2","1","2","2","PSNG","False","False","1","76","","","","","1","KILL","0","NONE      ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","","","","False"
"1935605","3637497","4138692","1","1","1","1","DRVR","False","False","1","57","1","OR-Y ","1","OR<25","1","KILL","2","BELT      ","1","","","","","","","","","000","NONE     ","047","BASCRULE  ","079","F NEG CURV","081","OFF RD    ","01","TOO-FAST","","","","","","","","","","","19","9","1","2","False"
