"CRASH_KEY_XREF_ID","CRASH_ID","VHCL_ID","PARTIC_ID"
"5025400778","1966213","3691189","4195112"
"5025400829","1971658","3701250","4207500"
"5025400830","1971694","3701318","4207586"
"5025400831","1971694","3701318","4207587"
"5025400853","1979931","3716490","4225539"
"5025400868","1980617","3717643","4226724"
"5025400869","1980617","3717644","4226725"
"5025400874","1935211","3636736","4137770"
"5025400875","1935211","3636736","4137771"
"5025400876","1942213","3649354","4151962"
"5025400885","1960761","3681006","4182802"
"5025400914","1962184","3683614","4185977"
"5025400918","1962820","3684807","4187429"
"5025400921","1962884","3684943","4187603"
"5025400933","1963069","3685293","4188024"
"5025400948","1963420","3685943","4188793"
"5025400957","1963720","3686515","4189464"
"5025400958","1963720","3686515","4189465"
"5025400963","1963805","3686665","4189644"
"5025400967","1963856","3686765","4189766"
"5025400999","1964791","3688537","4191853"
"5025401012","1965241","3689387","4192910"
"5025401031","1965842","3690459","4194221"
"5025401032","1965842","3690459","4194222"
"5025401039","1965942","3690659","4194474"
"5025401040","1965942","3690659","4194475"
"5025401052","1966228","3691216","4195144"
"5025401078","1966728","3692145","4196271"
"5025401079","1966728","3692145","4196272"
"5025401086","1968586","3695496","4200455"
"5025401099","1971694","3701319","4207588"
"5025401105","1972494","3702841","4209468"
"5025401108","1976959","3711179","4219727"
"5025401114","1979832","3716302","4225348"
"5025401124","1980167","3716888","4225955"
"5025401135","1960612","3680742","4182461"
"5025401226","1964306","3687629","4190783"
"5025401227","1964441","3687880","4191076"
"5025401229","1964491","3687979","4191182"
"5025401230","1964491","3687980","4191183"
"5025401232","1964541","3688079","4191296"
"5025401290","1966213","3691188","4195109"
"5025401291","1966213","3691188","4195110"
"5025401292","1966213","3691188","4195111"
"5025401311","1966513","3691738","4195784"
"5025401312","1966513","3691738","4195785"
"5025401321","1967299","3693210","4197564"
"5025401326","1967600","3693745","4198232"
"5025401327","1967600","3693745","4198233"
"5025401343","1972029","3701969","4208376"
"5025401353","1979817","3716273","4225321"
"5025401354","1979817","3716274","4225322"
"5025401376","1980618","3717645","4226726"
"5025401377","1980618","3717646","4226727"
"5025401450","1963655","3686398","4189326"
"5025401451","1963670","3686423","4189357"
"5025401460","1963856","3686764","4189765"
"5025401461","1963870","3686789","4189792"
"5025401462","1963870","3686789","4189793"
"5025401479","1964756","3688470","4191769"
"5025401480","1964756","3688470","4191770"
"5025401485","1964842","3688627","4191963"
"5025401494","1965006","3688938","4192349"
"5025401503","1965092","3689104","4192556"
"5025401506","1965142","3689197","4192669"
"5025401508","1965177","3689261","4192746"
"5025401510","1965291","3689470","4193022"
"5025401511","1965291","3689470","4193023"
"5025401522","1965592","3690006","4193687"
"5025401560","1966563","3691835","4195900"
"5025401613","1979832","3716303","4225349"
"5025401621","1979981","3716571","4225620"
"5025401631","1980467","3717380","4226457"
"5025401651","1981904","3719916","4229077"
"5025401673","1983190","3722259","4231541"
"5025401685","1984862","3725281","4234585"
"5025401698","1985948","3727254","4236611"
"5025401711","1990077","3734423","4243852"
"5025401723","1994821","3742665","4252308"
"5025401766","1980231","3716984","4226053"
"5025401768","1980282","3717069","4226137"
"5025401799","1982039","3720158","4229328"
"5025401855","1986098","3727514","4236881"
"5025401866","1989927","3734164","4243597"
"5025401872","1990292","3734798","4244229"
"5025401886","1991228","3736470","4245870"
"5025401891","1995357","3743622","4253311"
"5025401898","1998602","3749255","4259163"
"5025401900","1998666","3749357","4259267"
"5025401923","1982404","3720813",""
"5025401935","1981154","3718584","4227726"
"5025401944","1981739","3719622","4228773"
"5025401947","1981903","3719915","4229076"
"5025401970","1983190","3722260","4231542"
"5025401978","1983711","3723196","4232485"
"5025401985","1984112","3723923","4233200"
"5025402000","1985833","3727042","4236399"
"5025402020","1991013","3736091","4245502"
"5025402036","1995593","3744047","4253753"
"5025402047","1999451","3750663","4260621"
