"CRASH_ID","VHCL_ID","PARTIC_ID","PARTIC_DSPLY_SEQ_NO","VHCL_CODED_SEQ_NO","PARTIC_VHCL_SEQ_NO","PARTIC_TYP_CD","PARTIC_TYP_SHORT_DESC","PARTIC_HIT_RUN_FLG","PUB_EMPL_FLG","SEX_CD","AGE_VAL","DRVR_LIC_STAT_CD","DRVR_LIC_STAT_SHORT_DESC","DRVR_RES_STAT_CD","DRVR_RES_SHORT_DESC","INJ_SVRTY_CD","INJ_SVRTY_SHORT_DESC","SFTY_EQUIP_USE_CD","SFTY_EQUIP_USE_SHORT_DESC","AIRBAG_DEPLOY_IND","MVMNT_CD","MVMNT_SHORT_DESC","CMPSS_DIR_FROM_CD","PARTIC_CMPSS_DIR_FROM_SHORT_DESC","CMPSS_DIR_TO_CD","PARTIC_CMPSS_DIR_TO_SHORT_DESC","NON_MOTRST_LOC_CD","NON_MOTRST_LOC_SHORT_DESC","ACTN_CD","ACTN_SHORT_DESC","PARTIC_ERR_1_CD","PARTIC_ERR_1_SHORT_DESC","PARTIC_ERR_2_CD","PARTIC_ERR_2_SHORT_DESC","PARTIC_ERR_3_CD","PARTIC_ERR_3_SHORT_DESC","PARTIC_CAUSE_1_CD","PARTIC_CAUSE_1_SHORT_DESC","PARTIC_CAUSE_2_CD","PARTIC_CAUSE_2_SHORT_DESC","PARTIC_CAUSE_3_CD","PARTIC_CAUSE_3_SHORT_DESC","PARTIC_EVNT_1_CD","PARTIC_EVNT_1_SHORT_DESC","PARTIC_EVNT_2_CD","PARTIC_EVNT_2_SHORT_DESC","PARTIC_EVNT_3_CD","PARTIC_EVNT_3_SHORT_DESC","BAC_VAL","ALCHL_USE_RPT_IND","DRUG_USE_RPT_IND","MJ_USE_RPT_IND","STRIKG_PARTIC_FLG"
"1916263","3601529","4095456","1","1","1","1","DRVR","False","False","1","53","1","OR-Y ","1","OR<25","9","NONE","2","BELT      ","0","","","","","","","","","000","NONE     ","051","RECKLESS  ","021","RAN STOP  ","001","WIDE TRN  ","33","RECKLESS","03","PAS-STOP","08","IMP-TURN","","","","","","","21","1","","","False"
"1916286","3601572","4095504","1","1","1","1","DRVR","False","False","1","17","1","OR-Y ","1","OR<25","9","NONE","2","BELT      ","0","","","","","","","","","000","NONE     ","004","L IN TRF  ","028","NO ROW    ","","","08","IMP-TURN","02","NO-YIELD","","","","","","","","","","","","","False"
"1916290","3601579","4095511","1","1","1","1","DRVR","False","False","2","18","1","OR-Y ","1","OR<25","3","INJB","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","0","0","3","False"
"1916309","3601615","4095554","3","2","2","2","PSNG","False","False","1","21","","","","","3","INJB","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","0","0","3","False"
"1916309","3601615","4095553","2","2","1","1","DRVR","False","False","2","19","2","OTH-Y","1","OR<25","3","INJB","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","0","0","3","False"
"1916313","3601622","4095563","1","1","1","1","DRVR","False","False","1","40","1","OR-Y ","2","OR>25","9","NONE","2","BELT      ","1","","","","","","","","","038","DISTRACT ","016","INATTENT  ","026","REAR-END  ","","","27","INATTENT","29","F AVOID ","","","093","CELL PHONE","","","","","","","","","False"
"1916317","3601629","4095571","1","1","1","1","DRVR","False","False","1","24","1","OR-Y ","1","OR<25","9","NONE","9","UNK       ","9","","","","","","","","","000","NONE     ","043","TOO CLOSE ","","","","","01","TOO-FAST","07","TOO-CLOS","","","","","","","","","","","","","False"
"1916338","3601665","4095616","2","2","1","1","DRVR","False","False","2","62","1","OR-Y ","1","OR<25","4","INJC","9","UNK       ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916343","3601672","4095626","3","2","2","2","PSNG","False","False","2","24","","","","","2","INJA","0","NONE      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916343","3601672","4095625","2","2","1","1","DRVR","False","False","2","24","1","OR-Y ","1","OR<25","4","INJC","0","NONE      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916347","3601679","4095634","1","1","1","1","DRVR","False","False","1","44","1","OR-Y ","1","OR<25","4","INJC","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916347","3601679","4095635","2","1","2","2","PSNG","False","False","2","42","","","","","4","INJC","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916347","3601679","4095636","3","1","3","2","PSNG","False","False","1","03","","","","","4","INJC","4","CHILD     ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916362","3601715","4095680","2","2","1","1","DRVR","False","False","2","55","1","OR-Y ","1","OR<25","4","INJC","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","0","0","3","False"
"1916366","3601722","4095689","2","2","1","1","DRVR","False","False","2","25","1","OR-Y ","1","OR<25","4","INJC","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916370","3601729","4095697","3","1","3","2","PSNG","False","False","2","13","","","","","3","INJB","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916370","3601729","4095695","1","1","1","1","DRVR","False","False","2","34","1","OR-Y ","1","OR<25","2","INJA","2","BELT      ","1","","","","","","","","","000","NONE     ","028","NO ROW    ","097","UNA DIS TC","","","02","NO-YIELD","04","DIS SIG ","","","","","","","","","","","","","False"
"1916370","3601729","4095696","2","1","2","2","PSNG","False","False","2","10","","","","","3","INJB","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916388","3601758","4095735","1","1","1","1","DRVR","False","False","1","20","1","OR-Y ","1","OR<25","9","NONE","9","UNK       ","","","","","","","","","","000","NONE     ","028","NO ROW    ","020","DIS SGNL  ","","","02","NO-YIELD","04","DIS SIG ","","","","","","","","","","","","","False"
"1916437","3601850","4095848","2","2","1","1","DRVR","False","False","9","00","9","UNK  ","9","UNK  ","9","NONE","9","UNK       ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916438","3601852","4095850","2","2","1","1","DRVR","False","False","2","17","1","OR-Y ","1","OR<25","3","INJB","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","0","0","3","False"
"1916455","3601886","4095891","5","3","1","1","DRVR","False","False","1","00","9","UNK  ","9","UNK  ","9","NONE","9","UNK       ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
