"CRASH_KEY_XREF_ID","CRASH_ID","VHCL_ID","PARTIC_ID"
"4529758445","1893640","3562836","4056337"
"4529758484","1894780","3564843","4058695"
"4529758485","1894780","3564844","4058696"
"4529758487","1894805","3564894","4058753"
"4529758492","1894869","3565008","4058881"
"4529758498","1895044","3565329","4059236"
"4529758523","1904565","3581670","4075290"
"4529758533","1906301","3584614","4078151"
"4529758541","1907105","3585950","4079447"
"4529758550","1907437","3586500","4079974"
"4529758562","1880883","3539269","4027927"
"4529758563","1880883","3539269","4027928"
"4529758572","1887356","3551099","4042243"
"4529758581","1887692","3551737","4043013"
"4529758627","1890082","3556215","4048397"
"4529758646","1890457","3556915","4049217"
"4529758667","1891218","3558353","4050969"
"4529758697","1892247","3560266","4053281"
"4529758728","1894176","3563767","4057422"
"4529758732","1894562","3564469","4058244"
"4529758733","1894562","3564469","4058245"
"4529758748","1894855","3564982","4058853"
"4529758754","1895030","3565305","4059211"
"4529758758","1895055","3565348","4059256"
"4529758759","1895055","3565348","4059257"
"4529758763","1895119","3565475","4059399"
"4529758779","1903068","3579145","4072843"
"4529758781","1903936","3580588","4074242"
"4529758782","1904322","3581251","4074888"
"4529758792","1906351","3584702","4078236"
"4529758804","1906930","3585661","4079171"
"4529758821","1877339","3532776","4020063"
"4529758822","1880672","3538860","4027429"
"4529758823","1880672","3538860","4027430"
"4529758834","1887760","3551853","4043155"
"4529758853","1888703","3553623","4045299"
"4529758856","1888878","3553968","4045717"
"4529758865","1889103","3554402","4046222"
"4529758881","1890214","3556465","4048696"
"4529758886","1890282","3556597","4048844"
"4529758943","1893708","3562958","4056478"
"4529758952","1893908","3563319","4056904"
"4529758953","1893908","3563319","4056905"
"4529758954","1893908","3563319","4056906"
"4529758974","1894576","3564494","4058273"
"4529758975","1894576","3564494","4058274"
"4529758988","1894844","3564962","4058826"
"4529758990","1894912","3565098","4058982"
"4529759033","1905340","3583014","4076595"
"4529759043","1907144","3586013","4079507"
"4529759065","1876621","3531604","4018496"
"4529759098","1888235","3552728","4044241"
"4529759099","1888235","3552728","4044242"
"4529759114","1888878","3553966","4045715"
"4529759161","1890632","3557242","4049617"
"4529759162","1890632","3557242","4049618"
"4529759170","1890857","3557667","4050123"
"4529759171","1890857","3557667","4050124"
"4529759219","1893869","3563249","4056824"
"4529759253","1895044","3565330","4059237"
"4529759263","1895380","3565968","4059976"
"4529759265","1902718","3578561","4072258"
"4529759296","1907105","3585947","4079446"
"4529759304","1907487","3586581","4080051"
"4529759334","1881408","3540271","4029118"
"4529759335","1881408","3540271","4029119"
"4529759341","1887674","3551703","4042974"
"4529759342","1887674","3551703","4042975"
"4529759371","1889146","3554484","4046316"
"4529759413","1891218","3558355","4050972"
"4529759448","1892933","3561563","4054834"
"4529759453","1893115","3561906","4055221"
"4529759454","1893115","3561906","4055222"
"4529759455","1893115","3561906","4055223"
"4529759495","1894494","3564344","4058106"
"4529759508","1894737","3564771","4058610"
"4529759511","1894776","3564837","4058688"
"4529759578","1876796","3531910","4018885"
"4529759587","1880679","3538879","4027451"
"4529759588","1880679","3538879","4027452"
"4529759589","1880897","3539296","4027960"
"4529759590","1880897","3539296","4027961"
"4529759633","1889482","3555106","4047075"
"4529759652","1890300","3556629","4048883"
"4529759657","1890418","3556846","4049141"
"4529759658","1890457","3556914","4049216"
"4529759660","1890500","3556995","4049314"
"4529759679","1891261","3558433","4051068"
"4529759681","1891368","3558616","4051290"
"4529759707","1892315","3560390","4053433"
"4529759723","1893583","3562730","4056206"
"4529759747","1894108","3563649","4057285"
"4529759784","1895205","3565636","4059588"
"4529759790","1895337","3565887","4059884"
"4529759837","1877064","3532347","4019489"
"4529759843","1880679","3538880","4027453"
"4529759878","1888964","3554139","4045917"
"4529759880","1889078","3554356","4046172"
"4529759881","1889078","3554356","4046173"
"4529759894","1889746","3555592","4047638"
