"URB_AREA_CD","URB_AREA_LONG_NM","URB_AREA_SHORT_NM","URB_AREA_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"1","Albany UA","ALBANY UA      ","","2003-03-27 00:00:00","ISCO866 "
"3","Ashland UA","ASHLAND UA     ","2003-12-31 00:00:00","2004-12-13 10:40:47","isd849  "
"5","Astoria UA","ASTORIA UA     ","","2003-03-27 00:00:00","ISCO866 "
"7","Baker City UA","BAKR CTY UA    ","","2004-11-03 13:04:28","isco017 "
"9","Bend UA","BEND UA        ","","2005-06-30 10:30:15","isco017 "
"11","Brookings UA","BROOKINGS UA   ","","2004-12-13 10:18:43","isd849  "
"13","Canby UA","CANBY UA       ","","2003-03-27 00:00:00","ISCO866 "
"17","Coos Bay-North Bend UA","COOS BAY UA    ","","2004-11-03 13:04:40","isco017 "
"19","Corvallis UA","CORVALIS UA    ","","2004-12-13 10:17:46","isd849  "
"21","Cottage Grove UA","COTGE GR UA    ","","2004-11-03 13:05:09","isco017 "
"22","Creswell UA","CRESWELL UA    ","","2015-10-26 11:20:56","hwye85p "
"23","Dallas UA","DALLAS UA      ","","2003-03-27 00:00:00","ISCO866 "
"25","Eugene-Springfield UA","EUGN-SPR UA    ","","2004-11-03 13:05:18","isco017 "
"27","Florence UA","FLORENCE UA    ","","2004-11-03 13:05:34","isco017 "
"31","Grants Pass UA","GRNTS PS UA    ","","2004-11-03 13:05:42","isco017 "
"32","Green UA","GREEN UA       ","2015-12-31 00:00:00","2019-08-13 14:18:55","hwye85p "
"33","Hermiston UA","HERMSTON UA    ","","2004-11-03 13:05:52","isco017 "
"34","Hood River UA","HOOD RIVER UA  ","","2004-12-13 10:19:04","isd849  "
"35","Klamath Falls UA","KLAM FLS UA    ","","2004-11-03 13:05:59","isco017 "
"36","Junction City UA","JUNCTN-CITY UA ","","2015-10-26 11:22:30","hwye85p "
"37","La Grande UA","LAGRANDE UA    ","","2004-11-03 13:06:02","isco017 "
"38","La Pine UA","LA PINE UA     ","2015-12-31 00:00:00","2019-08-13 14:18:55","hwye85p "
"39","Lebanon UA","LEBANON UA     ","","2003-03-27 00:00:00","ISCO866 "
"41","Lincoln City UA","LINC CTY UA    ","","2004-11-03 13:06:25","isco017 "
"42","Madras UA","MADRAS UA      ","","2004-12-13 10:18:17","isd849  "
"43","McMinnville UA","MCMINVL UA     ","","2004-11-03 13:06:32","isco017 "
"44","Medford UA","MEDFORD UA     ","","2003-03-27 00:00:00","ISCO866 "
"45","Milton-Freewater UA","MILT-FRE UA    ","","2004-11-03 13:06:42","isco017 "
"46","Molalla UA","MOLALLA UA     ","","2019-08-13 14:18:55","hwye85p "
"47","Monmouth-Independence UA","MONM-IND UA    ","","2004-11-03 13:06:56","isco017 "
"48","Myrtle Creek UA","MYRTLE CRK UA  ","","2015-10-26 17:00:09","hwye85p "
"49","Newberg UA","NEWBERG UA     ","","2003-03-27 00:00:00","ISCO866 "
"51","Newport UA","NEWPORT UA     ","","2003-03-27 00:00:00","ISCO866 "
"53","Ontario UA","ONTARIO UA     ","","2003-03-27 00:00:00","ISCO866 "
"55","Pendleton UA","PENDLTN UA     ","","2004-11-03 13:07:14","isco017 "
"57","Portland UA","PORTLAND UA    ","","2004-11-03 13:07:17","isco017 "
"59","Prineville UA","PRINEVL UA     ","","2004-11-03 13:07:27","isco017 "
"61","Rainier UA","RAINIER UA     ","","2003-03-27 00:00:00","ISCO866 "
"63","Redmond UA","REDMOND UA     ","","2003-03-27 00:00:00","ISCO866 "
"65","Roseburg UA","ROSEBURG UA    ","","2004-11-03 13:07:40","isco017 "
"67","Salem-Keizer UA","SALEM-KZ UA    ","","2004-11-03 13:07:54","isco017 "
"68","Sandy UA","SANDY UA       ","","2004-12-13 10:19:48","isd849  "
"69","Seaside UA","SEASIDE UA     ","","2003-03-27 00:00:00","ISCO866 "
"70","Sheridan UA","SHERIDAN UA    ","","2015-10-26 17:00:39","hwye85p "
"71","Silverton UA","SILVERTN UA    ","","2004-11-03 13:08:06","isco017 "
"73","St. Helens UA","ST HELEN UA    ","","2004-11-03 13:08:19","isco017 "
"75","Stayton UA","STAYTON UA     ","","2003-03-27 00:00:00","ISCO866 "
"77","Sutherlin UA","SUTHRLIN UA    ","","2004-11-03 13:08:30","isco017 "
"79","Sweet Home UA","SWEETHOM UA    ","","2004-11-03 13:08:39","isco017 "
"80","Tillamook UA","TILLAMOOK UA   ","","2015-10-26 17:00:53","hwye85p "
"81","The Dalles UA","THE DLLS UA    ","","2004-11-03 13:08:49","isco017 "
"82","Veneta UA","VENETA UA      ","","2019-08-13 14:18:55","hwye85p "
"83","Wilsonville UA","WILSONVL UA    ","2003-12-31 00:00:00","2004-12-13 10:58:12","isd849  "
"84","Weiser UA","WEISER UA      ","","2019-08-13 14:18:55","hwye85p "
"85","Woodburn UA","WOODBURN UA    ","","2004-11-03 13:09:06","isco017 "
