"CRASH_ID","SER_NO","CRASH_DT","CRASH_MO_NO","CRASH_DAY_NO","CRASH_YR_NO","CRASH_WK_DAY_CD","CRASH_HR_NO","CRASH_HR_SHORT_DESC","CNTY_ID","CNTY_NM","CITY_SECT_ID","CITY_SECT_NM","URB_AREA_CD","URB_AREA_SHORT_NM","FC_CD","FC_SHORT_DESC","NHS_FLG","HWY_NO","HWY_SFX_NO","HWY_MED_NM","RDWY_NO","HWY_COMPNT_CD","HWY_COMPNT_SHORT_DESC","MLGE_TYP_CD","MLGE_TYP_SHORT_DESC","RD_CON_NO","LRS_VAL","LAT_DEG_NO","LAT_MINUTE_NO","LAT_SEC_NO","LONGTD_DEG_NO","LONGTD_MINUTE_NO","LONGTD_SEC_NO","LAT_DD","LONGTD_DD","SPECL_JRSDCT_ID","SPECL_JRSDCT_SHORT_DESC","JRSDCT_GRP_CD","JRSDCT_GRP_LONG_DESC","AGY_ST_NO","ST_FULL_NM","RECRE_RD_NM","ISECT_AGY_ST_NO","ISECT_ST_FULL_NM","ISECT_RECRE_RD_NM","ISECT_SEQ_NO","FROM_ISECT_DSTNC_QTY","CMPSS_DIR_CD","MP_NO","POST_SPEED_LMT_VAL","RD_CHAR_CD","RD_CHAR_SHORT_DESC","OFF_RDWY_FLG","ISECT_TYP_CD","ISECT_TYP_SHORT_DESC","ISECT_REL_FLG","RNDABT_FLG","DRVWY_REL_FLG","LN_QTY","TURNG_LEG_QTY","MEDN_TYP_CD","MEDN_TYP_SHORT_DESC","IMPCT_LOC_CD","CRASH_TYP_CD","CRASH_TYP_SHORT_DESC","COLLIS_TYP_CD","COLLIS_TYP_SHORT_DESC","CRASH_SVRTY_CD","CRASH_SVRTY_SHORT_DESC","WTHR_COND_CD","WTHR_COND_SHORT_DESC","RD_SURF_COND_CD","RD_SURF_SHORT_DESC","LGT_COND_CD","LGT_COND_SHORT_DESC","TRAF_CNTL_DEVICE_CD","TRAF_CNTL_DEVICE_SHORT_DESC","TRAF_CNTL_FUNC_FLG","INVSTG_AGY_CD","INVSTG_AGY_SHORT_DESC","CRASH_EVNT_1_CD","CRASH_EVNT_1_SHORT_DESC","CRASH_EVNT_2_CD","CRASH_EVNT_2_SHORT_DESC","CRASH_EVNT_3_CD","CRASH_EVNT_3_SHORT_DESC","CRASH_CAUSE_1_CD","CRASH_CAUSE_1_SHORT_DESC","CRASH_CAUSE_2_CD","CRASH_CAUSE_2_SHORT_DESC","CRASH_CAUSE_3_CD","CRASH_CAUSE_3_SHORT_DESC","SCHL_ZONE_IND","WRK_ZONE_IND","ALCHL_INVLV_FLG","DRUG_INVLV_FLG","MJ_INVLV_FLG","CRASH_SPEED_INVLV_FLG","CRASH_HIT_RUN_FLG","POP_RNG_CD","POP_RNG_MED_DESC","RD_CNTL_CD","RD_CNTL_MED_DESC","RTE_TYP_CD","RTE_ID","RTE_NM","REG_ID","DIST_ID","SEG_MRK_ID","SEG_PT_LRS_MEAS","UNLOCT_FLG","CRASH_LAST_UD_DT","TOT_VHCL_CNT","TOT_FATAL_CNT","TOT_INJ_LVL_A_CNT","TOT_INJ_LVL_B_CNT","TOT_INJ_LVL_C_CNT","TOT_INJ_CNT","TOT_UNINJD_AGE00_04_CNT","TOT_UNINJD_PER_CNT","TOT_PED_CNT","TOT_PED_FATAL_CNT","TOT_PED_INJ_LVL_A_CNT","TOT_PED_INJ_CNT","TOT_PEDCYCL_CNT","TOT_PEDCYCL_FATAL_CNT","TOT_PEDCYCL_INJ_LVL_A_CNT","TOT_PEDCYCL_INJ_CNT","TOT_UNKNWN_CNT","TOT_UNKNWN_FATAL_CNT","TOT_UNKNWN_INJ_CNT","TOT_OCCUP_CNT","TOT_PER_INVLV_CNT","TOT_SFTY_EQUIP_USED_QTY","TOT_SFTY_EQUIP_UNUSED_QTY","TOT_SFTY_EQUIP_USE_UNKNOWN_QTY","TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT","TOT_MCYCLST_FATAL_CNT","TOT_MCYCLST_INJ_LVL_A_CNT","TOT_MCYCLST_INJ_CNT","TOT_MCYCLST_UNHELMTD_FATAL_CNT","TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT","TOT_DRVR_AGE_01_20_CNT","LANE_RDWY_DPRT_CRASH_FLG"
"1669038","06065","2016-05-25 00:00:00","05","25","2016","4","06","6A ","26","Multnomah","243","Portland NE","57","PORTLAND UA    ","11","U INTRST","True","064","  ","EAST PORTLAND FREEWAY","2","0","MN","0","R","","006400200S00","45","32","21.360000000000000","-122","33","47.880000000000000","45.539266666666333","-122.563300000000000","","","","","00745  ","EAST PORTLAND FY            ","","09532  ","WB BNFLD-SB E PTLD          ","","1","","6","22","55","3","STRGHT  ","False","","","False","False","False","6","","2","DIVMD","04","E","S-1STOP   ","3","REAR    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","5","NO RPT","","","","","","","27","INATTENT","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","IS","205  ","IS 205    ","1","02B","293_5899","1587.90736325235","False","2017-08-28 15:58:29","2","0","0","0","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","4","4","2","1","1","0","0","0","0","0","0","0","N"
"1669055","00447","2016-10-19 00:00:00","10","19","2016","4","06","6A ","05","Columbia","","","","","02","R PR-ART","True","092","  ","LOWER COLUMBIA RIVER","1","0","MN","0","R","","009200100S00","46","6","40.400000000000000","-123","18","25.510000000000000","46.111222222222000","-123.307086111111000","","","","","","                            ","","","                            ","","","","0","67","55","5","CURVE   ","False","","","False","False","False","2","","0","NONE ","03","G","O-STRGHT  ","2","HEAD    ","4","INJ","1","CLR ","1","DRY ","4","DAWN","099","UNKNOWN   ","True","5","NO RPT","013","FORCED    ","","","","","16","FATIGUE ","","","","","","","False","False","False","False","False","","","5","RURAL HWY SYSTEM","US","30   ","US 30     ","2","01 ","293_1398","1542.56061160756","False","2017-06-12 09:07:42","4","0","0","1","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","4","4","2","0","2","0","0","0","0","0","0","0","Y"
"1669072","05487","2016-05-11 00:00:00","05","11","2016","4","19","7P ","26","Multnomah","245","Portland SE","57","PORTLAND UA    ","16","U MN-ART","False","","","","","","","","","","","45","30","46.600000000000000","-122","39","36.820000000000000","45.512944444444000","-122.660227777777000","","","","","01513  ","SE MADISON ST               ","","05006  ","SE 6TH AVE                  ","","1","85","7","","","3","STRGHT  ","False","","","False","False","False","3","","0","NONE ","07","6","BIKE      ","3","REAR    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","015","ONE-WAY   ","True","3","CITY  ","","","","","","","40","VIEW OBS","","","","","0","0","False","False","False","False","False","9","Over 200,000","1","PORTLAND CITY STREET","","","","1","02B","58_117083","139.11000391039","False","2017-08-28 15:58:31","1","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","2","0","0","2","0","0","0","0","0","0","1","N"
"1669089","02591","2016-10-21 00:00:00","10","21","2016","6","13","1P ","15","Jackson","8","Ashland","44","MEDFORD UA     ","19","U LOCAL ","False","","","","","","","","","","","42","11","41.710000000000000","-122","42","41.870000000000000","42.194919444444333","-122.711630555555000","","","","","08002  ","2ND ST                      ","","01502  ","E MAIN ST                   ","","1","140","6","","20","3","STRGHT  ","True","","","False","False","False","2","","0","NONE ","07","2","PRKD MV   ","3","REAR    ","4","INJ","2","CLD ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","3","CITY  ","040","CURB      ","058","OTH SIGN  ","129","HILL INV  ","10","OTHR-IMP","","","","","0","0","False","False","False","False","False","5","10,001 to 25,000","3","URBAN CITY STREET ","","","","3","08 ","142_12058","183.259796597928","False","2017-08-17 13:48:36","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","Y"
"1669106","00449","2016-10-20 00:00:00","10","20","2016","5","18","6P ","05","Columbia","","","73","ST HELEN UA    ","14","U PR-ART","True","092","  ","LOWER COLUMBIA RIVER","1","0","MN","0","R","","009200100S00","45","50","41.840000000000000","-122","50","3.340000000000000","45.844955555555333","-122.834261111110333","","","","","","                            ","","","                            ","","","","6","27.41","45","1","INTER   ","False","3","3-LEG  ","False","False","False","","0","","","06","E","S-1STOP   ","3","REAR    ","4","INJ","2","CLD ","1","DRY ","3","DARK","004","STOP SIGN ","True","1","STATE ","013","FORCED    ","","","","","07","TOO-CLOS","27","INATTENT","","","0","0","False","False","False","False","False","","","8","SUBURBAN HWY SYSTEM","US","30   ","US 30     ","2","01 ","293_18903","0","False","2017-06-13 08:48:30","3","0","0","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","3","3","3","0","0","0","0","0","0","0","0","0","N"
"1669187","06124","2016-05-27 00:00:00","05","27","2016","6","11","11A","26","Multnomah","243","Portland NE","57","PORTLAND UA    ","11","U INTRST","True","002","  ","COLUMBIA RIVER","1","6","CN","0","R","1","0002BB100S00","45","32","42.720000000000000","-122","32","14.700000000000000","45.545199999999333","-122.537416666666333","","","","","05122  ","NE 122ND AVE                ","","09533  ","EB EXTO NE 122 AV C1        ","","1","","1","10.28","","1","INTER   ","False","3","3-LEG  ","False","False","False","","0","","","06","E","S-1STOP   ","3","REAR    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","001","TRF SIGNAL","True","0","NONE  ","","","","","","","29","F AVOID ","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","IS","84   ","I-84      ","1","02B","293_3696","1371.7145","False","2017-08-28 15:58:29","2","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","0","0","N"
"1669204","02629","2016-10-24 00:00:00","10","24","2016","2","13","1P ","15","Jackson","","","44","MEDFORD UA     ","17","U MJ-COL","False","","","","","","","","","","","42","28","38.920000000000000","-122","51","4.920000000000000","42.477477777777667","-122.851366666666000","","","","","00515  ","AGATE RD                    ","","","                            ","","","","0","4.36","55","3","STRGHT  ","True","","","False","False","False","2","","0","NONE ","07","8","FIX OBJ   ","9","FIX     ","4","INJ","2","CLD ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","2","COUNTY","079","DITCH     ","010","SUB OTRN  ","","","27","INATTENT","","","","","0","0","False","False","False","False","False","","","9","SUBURBAN COUNTY ROAD","","","","3","08 ","142_5258","23171.0963931831","False","2017-06-13 08:48:37","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","Y"
"1669221","00131","2016-06-14 00:00:00","06","14","2016","3","13","1P ","07","Crook","171","Prineville","59","PRINEVL UA     ","14","U PR-ART","True","041","  ","OCHOCO","1","0","MN","0","R","","004100100S00","44","18","10.450000000000000","-120","50","40.700000000000000","44.302902777777000","-120.844638888888333","","","","","00405  ","NE COURT ST                 ","","08003  ","NE 3RD ST                   ","","1","","9","18.86","25","1","INTER   ","False","1","CROSS  ","False","False","False","","0","","","02","E","S-1STOP   ","3","REAR    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","004","STOP SIGN ","True","3","CITY  ","","","","","","","07","TOO-CLOS","","","","","0","0","False","False","False","True","False","4","5,001 to 10,000","4","URBAN HWY SYSTEM","US","26   ","US 26     ","4","10 ","293_10951","321.784899999999","False","2017-08-28 14:49:58","2","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","3","3","3","0","0","0","0","0","0","0","0","2","N"
"1669238","00142","2016-06-09 00:00:00","06","09","2016","5","16","4P ","07","Crook","171","Prineville","59","PRINEVL UA     ","17","U MJ-COL","False","","","","","","","","","","","44","18","7.310000000000000","-120","51","2.720000000000000","44.302030555555000","-120.850755555555000","","","","","00601  ","NW DEER ST                  ","","08002  ","NW 2ND ST                   ","","1","0","5","","25","1","INTER   ","False","1","CROSS  ","False","False","False","","0","","","06","6","BIKE      ","1","ANGL    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","004","STOP SIGN ","True","3","CITY  ","","","","","","","03","PAS-STOP","19","NT VISBL","","","0","0","False","False","False","False","False","4","5,001 to 10,000","3","URBAN CITY STREET ","","","","4","10 ","54_279","0","False","2017-08-28 14:49:58","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","2","1","0","1","0","0","0","0","0","0","0","N"
"1669255","00933","2016-10-28 00:00:00","10","28","2016","6","20","8P ","02","Benton","42","Corvallis","19","CORVALIS UA    ","14","U PR-ART","True","091","  ","PACIFIC HIGHWAY WEST","1","0","MN","0","R","","009100100S00","44","32","41.090000000000000","-123","15","57.350000000000000","44.544747222221333","-123.265930555555000","","","","","01901  ","PACIFIC HY 99W              ","","00112  ","ALEXANDER AVE               ","","1","","5","84.99","35","3","STRGHT  ","False","","","False","False","False","4","","0","NONE ","03","3","PED       ","0","PED     ","2","FAT","1","CLR ","1","DRY ","3","DARK","000","NONE      ","True","3","CITY  ","","","","","","","18","IN RDWY ","19","NT VISBL","","","0","0","True","False","False","False","False","7","50,001 to 100,000","4","URBAN HWY SYSTEM","OR","99W  ","OR 99W    ","2","04 ","293_20541","170.244266416553","False","2017-09-22 10:13:35","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","N"
