"HWY_NO","HWY_SFX_NO","HWY_LONG_NM","HWY_MED_NM","HWY_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID","ALT_HWY_NO"
"070","  ","Mcnary Highway","MCNARY","","2003-03-27 00:00:00","ISCO866 "," 70 "
"071","  ","Whitney Highway","WHITNEY","","2003-03-27 00:00:00","ISCO866 "," 71 "
"072","  ","Salem Highway","SALEM","","2003-03-27 00:00:00","ISCO866 "," 72 "
"073","  ","North Umpqua Highway","NORTH UMPQUA","2003-12-31 00:00:00","2005-06-03 08:05:00","isd849  "," 73 "
"075","  ","Sunrise Expressway","SUNRISE EXPRESSWAY","","2016-06-07 14:11:09","hwye85p "," 75 "
"081","  ","Pacific Highway East","PACIFIC HIGHWAY EAST","","2016-07-11 15:20:03","Hwye85p ","  1E"
"091","  ","Pacific Highway West","PACIFIC HIGHWAY WEST","","2003-10-15 15:34:29","isco866 ","  1W"
"092","  ","Lower Columbia River Highway","LOWER COLUMBIA RIVER","","2003-10-15 15:34:42","isco866 ","  2W"
"100","  ","Historic Columbia River Highway","HISTORIC COLUMBIA RIVER","","2004-12-17 14:14:50","isco017 ","100 "
"102","  ","Nehalem Highway","NEHALEM","","2004-12-17 14:15:00","isco017 ","102 "
"103","  ","Fishhawk Falls Highway","FISHHAWK FALLS","","2004-12-17 14:15:08","isco017 ","103 "
"104","  ","Fort Stevens Highway","FORT STEVENS","","2004-12-17 14:15:15","isco017 ","104 "
"105","  ","Warrenton-Astoria Highway","WARRENTON-ASTORIA","","2004-12-17 14:15:23","isco017 ","105 "
"110","  ","Mist-Clatskanie Highway","MIST-CLATSKANIE","","2004-12-17 14:15:28","isco017 ","110 "
"120","  ","Swift Highway","SWIFT","","2016-07-11 15:27:06","Hwye85p ","120 "
"122","  ","Vancouver Ave Highway","VANCOUVER AVE","2000-12-31 00:00:00","2004-12-17 14:15:37","isco017 ","122 "
"123","  ","Northeast Portland Highway","NORTHEAST PORTLAND","","2004-12-17 14:15:42","isco017 ","123 "
"125","  ","Crown Point Highway","CROWN POINT","2000-12-31 00:00:00","2004-12-17 14:15:47","isco017 ","125 "
"130","  ","Little Nestucca Highway","LITTLE NESTUCCA","","2004-12-17 14:15:52","isco017 ","130 "
"131","  ","Netarts Highway","NETARTS","","2004-12-17 14:15:57","isco017 ","131 "
"138","  ","North Umpqua Highway","NORTH UMPQUA","","2005-06-03 08:04:03","isd849  ","138 "
"140","  ","Hillsboro-Silverton Highway","HILLSBORO-SILVERTON","","2016-07-11 15:29:03","Hwye85p ","140 "
"141","  ","Beaverton-Tualatin Highway","BEAVERTON-TUALATIN","","2016-07-11 15:29:46","Hwye85p ","141 "
"142","  ","Farmington Highway","FARMINGTON","","2004-12-17 14:16:11","isco017 ","142 "
"143","  ","Scholls Highway","SCHOLLS","","2016-07-11 15:30:35","Hwye85p ","143 "
"144","  ","Beaverton-Tigard Highway","BEAVERTON-TIGARD","","2016-07-11 15:31:31","Hwye85p ","144 "
"150","  ","Salem-Dayton Highway","SALEM-DAYTON","","2016-07-11 15:32:07","Hwye85p ","150 "
"151","  ","Yamhill-Newberg Highway","YAMHILL-NEWBERG","","2004-12-17 14:16:33","isco017 ","151 "
"153","  ","Bellevue-Hopewell Highway","BELLEVUE-HOPEWELL","","2007-07-24 14:01:51","isd849  ","153 "
"154","  ","Lafayette Highway","LAFAYETTE","","2004-12-17 14:16:42","isco017 ","154 "
"155","  ","Amity-Dayton Highway","AMITY-DAYTON","","2004-12-17 14:16:47","isco017 ","155 "
"156","  ","Mcminnville Highway","MCMINNVILLE","1999-12-31 00:00:00","2008-08-22 18:18:46","Hwye85p ","156 "
"157","  ","Willamina-Sheridan Highway","WILLAMINA-SHERIDAN","","2004-12-17 14:16:56","isco017 ","157 "
"160","  ","Cascade Hwy South Highway","CASCADE HWY SOUTH","","2004-12-17 14:17:01","isco017 ","160 "
"161","  ","Woodburn-Estacada Highway","WOODBURN-ESTACADA","","2004-12-17 14:17:06","isco017 ","161 "
"162","  ","North Santiam Highway","NORTH SANTIAM","","2004-12-17 14:17:11","isco017 ","162 "
"163","  ","Silver Creek Falls Highway","SILVER CREEK FALLS","","2004-12-17 14:17:19","isco017 ","163 "
"164","  ","Jefferson Highway","JEFFERSON","","2016-07-11 15:46:45","Hwye85p ","164 "
