"CRASH_ID","SER_NO","CRASH_DT","CRASH_MO_NO","CRASH_DAY_NO","CRASH_YR_NO","CRASH_WK_DAY_CD","CRASH_HR_NO","CRASH_HR_SHORT_DESC","CNTY_ID","CNTY_NM","CITY_SECT_ID","CITY_SECT_NM","URB_AREA_CD","URB_AREA_SHORT_NM","FC_CD","FC_SHORT_DESC","NHS_FLG","HWY_NO","HWY_SFX_NO","HWY_MED_NM","RDWY_NO","HWY_COMPNT_CD","HWY_COMPNT_SHORT_DESC","MLGE_TYP_CD","MLGE_TYP_SHORT_DESC","RD_CON_NO","LRS_VAL","LAT_DEG_NO","LAT_MINUTE_NO","LAT_SEC_NO","LONGTD_DEG_NO","LONGTD_MINUTE_NO","LONGTD_SEC_NO","LAT_DD","LONGTD_DD","SPECL_JRSDCT_ID","SPECL_JRSDCT_SHORT_DESC","JRSDCT_GRP_CD","JRSDCT_GRP_LONG_DESC","AGY_ST_NO","ST_FULL_NM","RECRE_RD_NM","ISECT_AGY_ST_NO","ISECT_ST_FULL_NM","ISECT_RECRE_RD_NM","ISECT_SEQ_NO","FROM_ISECT_DSTNC_QTY","CMPSS_DIR_CD","MP_NO","POST_SPEED_LMT_VAL","RD_CHAR_CD","RD_CHAR_SHORT_DESC","OFF_RDWY_FLG","ISECT_TYP_CD","ISECT_TYP_SHORT_DESC","ISECT_REL_FLG","RNDABT_FLG","DRVWY_REL_FLG","LN_QTY","TURNG_LEG_QTY","MEDN_TYP_CD","MEDN_TYP_SHORT_DESC","IMPCT_LOC_CD","CRASH_TYP_CD","CRASH_TYP_SHORT_DESC","COLLIS_TYP_CD","COLLIS_TYP_SHORT_DESC","CRASH_SVRTY_CD","CRASH_SVRTY_SHORT_DESC","WTHR_COND_CD","WTHR_COND_SHORT_DESC","RD_SURF_COND_CD","RD_SURF_SHORT_DESC","LGT_COND_CD","LGT_COND_SHORT_DESC","TRAF_CNTL_DEVICE_CD","TRAF_CNTL_DEVICE_SHORT_DESC","TRAF_CNTL_FUNC_FLG","INVSTG_AGY_CD","INVSTG_AGY_SHORT_DESC","CRASH_EVNT_1_CD","CRASH_EVNT_1_SHORT_DESC","CRASH_EVNT_2_CD","CRASH_EVNT_2_SHORT_DESC","CRASH_EVNT_3_CD","CRASH_EVNT_3_SHORT_DESC","CRASH_CAUSE_1_CD","CRASH_CAUSE_1_SHORT_DESC","CRASH_CAUSE_2_CD","CRASH_CAUSE_2_SHORT_DESC","CRASH_CAUSE_3_CD","CRASH_CAUSE_3_SHORT_DESC","SCHL_ZONE_IND","WRK_ZONE_IND","ALCHL_INVLV_FLG","DRUG_INVLV_FLG","MJ_INVLV_FLG","CRASH_SPEED_INVLV_FLG","CRASH_HIT_RUN_FLG","POP_RNG_CD","POP_RNG_MED_DESC","RD_CNTL_CD","RD_CNTL_MED_DESC","RTE_TYP_CD","RTE_ID","RTE_NM","REG_ID","DIST_ID","SEG_MRK_ID","SEG_PT_LRS_MEAS","UNLOCT_FLG","CRASH_LAST_UD_DT","TOT_VHCL_CNT","TOT_FATAL_CNT","TOT_INJ_LVL_A_CNT","TOT_INJ_LVL_B_CNT","TOT_INJ_LVL_C_CNT","TOT_INJ_CNT","TOT_UNINJD_AGE00_04_CNT","TOT_UNINJD_PER_CNT","TOT_PED_CNT","TOT_PED_FATAL_CNT","TOT_PED_INJ_LVL_A_CNT","TOT_PED_INJ_CNT","TOT_PEDCYCL_CNT","TOT_PEDCYCL_FATAL_CNT","TOT_PEDCYCL_INJ_LVL_A_CNT","TOT_PEDCYCL_INJ_CNT","TOT_UNKNWN_CNT","TOT_UNKNWN_FATAL_CNT","TOT_UNKNWN_INJ_CNT","TOT_OCCUP_CNT","TOT_PER_INVLV_CNT","TOT_SFTY_EQUIP_USED_QTY","TOT_SFTY_EQUIP_UNUSED_QTY","TOT_SFTY_EQUIP_USE_UNKNOWN_QTY","TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT","TOT_MCYCLST_FATAL_CNT","TOT_MCYCLST_INJ_LVL_A_CNT","TOT_MCYCLST_INJ_CNT","TOT_MCYCLST_UNHELMTD_FATAL_CNT","TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT","TOT_DRVR_AGE_01_20_CNT","LANE_RDWY_DPRT_CRASH_FLG"
"1619257","00953","2015-07-09 00:00:00","07","09","2015","5","17","5P ","09","Deschutes","19","Bend","9","BEND UA        ","14","U PR-ART","True","","","","","","","","","","","44","2","51.620000000000000","-121","18","8.950000000000000","44.047672222221333","-121.302486111111000","","","","","08503  ","S 3RD ST                    ","","02608  ","S WOODLAND BLVD             ","","1","30","1","","35","3","STRGHT  ","False","","","True","False","False","4","","0","NONE ","06","E","S-1STOP   ","3","REAR    ","4","INJ","2","CLD ","1","DRY ","1","DAY ","000","NONE      ","True","3","CITY  ","","","","","","","07","TOO-CLOS","","","","","0","0","False","False","False","False","False","7","50,001 to 100,000","3","URBAN CITY STREET ","","","","4","10 ","11_10006782","2432.51169638","False","2016-05-31 10:03:57","2","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","N"
"1619266","00955","2015-07-04 00:00:00","07","04","2015","7","19","7P ","09","Deschutes","19","Bend","9","BEND UA        ","16","U MN-ART","False","","","","","","","","","","","44","2","39.480000000000000","-121","17","34.010000000000000","44.044299999999333","-121.292780555555333","","","","","02607  ","WILSON AVE                  ","","08309  ","E 9TH ST                    ","","1","0","9","","","1","INTER   ","False","1","CROSS  ","False","False","False","","0","","","02","B","ANGL-OTH  ","1","ANGL    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","004","STOP SIGN ","True","5","NO RPT","","","","","","","02","NO-YIELD","","","","","","","False","False","False","False","False","7","50,001 to 100,000","3","URBAN CITY STREET ","","","","4","10 ","11_10006799","3482.515","False","2016-05-31 10:03:57","2","0","0","1","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","4","0","0","0","0","0","0","0","N"
"1619291","00111","2015-12-18 00:00:00","12","18","2015","6","06","6A ","25","Morrow","","","","","01","R INTRST","True","006","  ","OLD OREGON TRAIL","2","0","MN","0","R","","000600200S00","45","50","3.180000000000000","-119","37","28.180000000000000","45.834216666666333","-119.624494444443667","","","","","","                            ","","","                            ","","","","0","167.92","65","3","STRGHT  ","True","","","False","False","False","4","","2","DIVMD","06","&","OVERTURN  ","8","NCOL    ","4","INJ","4","SLT ","4","ICE ","4","DAWN","099","UNKNOWN   ","True","1","STATE ","079","DITCH     ","","","","","01","TOO-FAST","","","","","0","0","False","False","False","True","False","","","5","RURAL HWY SYSTEM","IS","84   ","I-84      ","5","12 ","293_5564","962.98120718","False","2016-04-01 08:55:45","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","Y"
"1619300","02502","2015-07-29 00:00:00","07","29","2015","4","12","12P","20","Lane","64","Eugene","25","EUGN-SPR UA    ","16","U MN-ART","False","","","","","","","","","","","44","4","10.650000000000000","-123","10","41.910000000000000","44.069624999999667","-123.178308333332667","","","","","00605  ","DANEBO AVE                  ","","02137  ","ROYAL AVE                   ","","1","100","5","","","3","STRGHT  ","False","","","False","False","True","3","","0","NONE ","07","E","S-1STOP   ","3","REAR    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","5","NO RPT","004","INDRCT PED","","","","","29","F AVOID ","","","","","0","0","False","False","False","False","False","8","100,001 to 200,000","3","URBAN CITY STREET ","","","","2","05 ","277_51778","559.60655837","False","2016-05-31 10:33:21","2","0","0","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","3","3","2","0","1","0","0","0","0","0","0","0","N"
"1619355","12448","2015-11-09 00:00:00","11","09","2015","2","11","11A","26","Multnomah","247","Portland SW","57","PORTLAND UA    ","19","U LOCAL ","False","","","","","","","","","","","45","31","7.680000000000000","-122","40","39.280000000000000","45.518799999999667","-122.677577777777667","","","","","01591  ","SW MORRISON ST              ","","05005  ","SW 5TH AVE                  ","","1","0","9","","","1","INTER   ","False","1","CROSS  ","False","False","False","","0","","","01","B","ANGL-OTH  ","1","ANGL    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","001","TRF SIGNAL","True","3","CITY  ","113","S CAR ROW ","","","","","04","DIS SIG ","","","","","","","False","False","False","False","True","9","Over 200,000","1","PORTLAND CITY STREET","","","","1","02B","58_138814","280.0576","False","2016-05-31 11:39:07","2","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","0","0","N"
"1619389","12460","2015-11-09 00:00:00","11","09","2015","2","16","4P ","26","Multnomah","247","Portland SW","57","PORTLAND UA    ","14","U PR-ART","True","091","  ","PACIFIC HIGHWAY WEST","1","0","MN","0","R","","009100100S00","45","27","16.230000000000000","-122","43","7.440000000000000","45.454508333333000","-122.718733333332667","","","","","00212  ","SW BARBUR BLVD              ","","02310  ","SW TAYLORS FERRY RD         ","","1","","9","6.08","40","1","INTER   ","False","1","CROSS  ","False","False","False","","0","","","04","H","O-1 L-TURN","6","TURN    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","001","TRF SIGNAL","True","5","NO RPT","","","","","","","02","NO-YIELD","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","","","","1","02B","293_17963","413.8741","False","2016-05-31 11:39:07","2","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","0","0","N"
"1619398","12964","2015-11-19 00:00:00","11","19","2015","5","17","5P ","26","Multnomah","242","Portland N","57","PORTLAND UA    ","19","U LOCAL ","False","","","","","","","","","","","45","33","32.450000000000000","-122","40","55.810000000000000","45.559013888888000","-122.682169444443667","","","","","00111  ","N ALBERTA ST                ","","01108  ","N INTERSTATE AVE            ","","1","0","5","","","1","INTER   ","False","1","CROSS  ","False","False","False","","0","","","06","3","PED       ","0","PED     ","4","INJ","1","CLR ","1","DRY ","5","DUSK","001","TRF SIGNAL","True","5","NO RPT","","","","","","","02","NO-YIELD","","","","","","","False","False","False","False","False","9","Over 200,000","1","PORTLAND CITY STREET","","","","1","02B","58_185981","0","False","2016-05-31 11:39:01","1","0","0","0","1","1","0","1","1","0","0","1","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","N"
"1619423","02528","2015-08-01 00:00:00","08","01","2015","7","20","8P ","20","Lane","200","Springfield","25","EUGN-SPR UA    ","12","U FWY/XP","True","227","  ","EUGENE-SPRINGFIELD","1","0","MN","0","R","","022700100S00","44","3","40.490000000000000","-123","1","35.720000000000000","44.061247222222000","-123.026588888888667","","","","","00706  ","EUGENE-SPFLD HY             ","","09201  ","EB EX PIONR PY W            ","","1","","7","4.65","55","3","STRGHT  ","False","","","False","False","False","4","","0","NONE ","04","C","S-STRGHT  ","5","SS-O    ","4","INJ","1","CLR ","1","DRY ","5","DUSK","099","UNKNOWN   ","True","0","NONE  ","","","","","","","13","IMP LN C","","","","","0","0","False","False","False","False","False","7","50,001 to 100,000","4","URBAN HWY SYSTEM","OR","126  ","126       ","2","05 ","293_7288","1676.7101599","False","2016-05-31 11:51:09","2","0","0","0","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","3","3","2","0","1","0","0","0","0","0","0","1","N"
"1619432","00385","2015-08-03 00:00:00","08","03","2015","2","11","11A","04","Clatsop","","","5","ASTORIA UA     ","14","U PR-ART","True","009","  ","OREGON COAST","1","0","MN","0","R","","000900100S00","46","7","42.760000000000000","-123","55","41.850000000000000","46.128544444443667","-123.928291666666667","","","","","","                            ","","","                            ","","","","5","9.48","55","1","INTER   ","True","1","CROSS  ","False","False","False","","2","","","06","8","FIX OBJ   ","9","FIX     ","4","INJ","2","CLD ","1","DRY ","1","DAY ","004","STOP SIGN ","True","1","STATE ","092","PHANTOM   ","079","DITCH     ","053","POLE UTL  ","26","PHANTOM ","","","","","0","0","False","False","False","False","False","","","8","SUBURBAN HWY SYSTEM","US","101  ","US 101    ","2","01 ","293_4807","0","False","2016-04-01 08:56:03","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","N"
"1619457","00219","2015-04-01 00:00:00","04","01","2015","4","15","3P ","02","Benton","42","Corvallis","19","CORVALIS UA    ","16","U MN-ART","False","","","","","","","","","","","44","33","36.150000000000000","-123","16","19.310000000000000","44.560041666666000","-123.272030555554667","","","","","02607  ","WESTERN BLVD                ","","08013  ","13TH ST                     ","","1","0","7","","","1","INTER   ","False","3","3-LEG  ","False","False","False","","0","","","06","E","S-1STOP   ","3","REAR    ","4","INJ","3","RAIN","2","WET ","1","DAY ","004","STOP SIGN ","True","3","CITY  ","","","","","","","07","TOO-CLOS","","","","","0","0","False","False","False","False","False","7","50,001 to 100,000","3","URBAN CITY STREET ","","","","2","04 ","9_2200","0","False","2016-05-31 12:49:11","2","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","3","3","3","0","0","0","0","0","0","0","0","2","N"
"1619466","00965","2015-06-30 00:00:00","06","30","2015","3","19","7P ","09","Deschutes","19","Bend","9","BEND UA        ","14","U PR-ART","True","","","","","","","","","","","44","1","13.170000000000000","-121","18","59.940000000000000","44.020324999999667","-121.316650000000000","","","","","00485  ","OLD MURPHY RD               ","","08503  ","S 3RD ST                    ","","1","0","3","","","1","INTER   ","False","3","3-LEG  ","False","False","False","","0","","","06","B","ANGL-OTH  ","1","ANGL    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","001","TRF SIGNAL","True","3","CITY  ","","","","","","","08","IMP-TURN","","","","","0","0","True","False","False","False","False","7","50,001 to 100,000","3","URBAN CITY STREET ","","","","4","10 ","11_10011493","0","False","2016-05-31 10:03:57","2","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","N"
