"CRASH_ID","SER_NO","CRASH_DT","CRASH_MO_NO","CRASH_DAY_NO","CRASH_YR_NO","CRASH_WK_DAY_CD","CRASH_HR_NO","CRASH_HR_SHORT_DESC","CNTY_ID","CNTY_NM","CITY_SECT_ID","CITY_SECT_NM","URB_AREA_CD","URB_AREA_SHORT_NM","FC_CD","FC_SHORT_DESC","NHS_FLG","HWY_NO","HWY_SFX_NO","HWY_MED_NM","RDWY_NO","HWY_COMPNT_CD","HWY_COMPNT_SHORT_DESC","MLGE_TYP_CD","MLGE_TYP_SHORT_DESC","RD_CON_NO","LRS_VAL","LAT_DEG_NO","LAT_MINUTE_NO","LAT_SEC_NO","LONGTD_DEG_NO","LONGTD_MINUTE_NO","LONGTD_SEC_NO","LAT_DD","LONGTD_DD","SPECL_JRSDCT_ID","SPECL_JRSDCT_SHORT_DESC","JRSDCT_GRP_CD","JRSDCT_GRP_LONG_DESC","AGY_ST_NO","ST_FULL_NM","RECRE_RD_NM","ISECT_AGY_ST_NO","ISECT_ST_FULL_NM","ISECT_RECRE_RD_NM","ISECT_SEQ_NO","FROM_ISECT_DSTNC_QTY","CMPSS_DIR_CD","MP_NO","POST_SPEED_LMT_VAL","RD_CHAR_CD","RD_CHAR_SHORT_DESC","OFF_RDWY_FLG","ISECT_TYP_CD","ISECT_TYP_SHORT_DESC","ISECT_REL_FLG","RNDABT_FLG","DRVWY_REL_FLG","LN_QTY","TURNG_LEG_QTY","MEDN_TYP_CD","MEDN_TYP_SHORT_DESC","IMPCT_LOC_CD","CRASH_TYP_CD","CRASH_TYP_SHORT_DESC","COLLIS_TYP_CD","COLLIS_TYP_SHORT_DESC","CRASH_SVRTY_CD","CRASH_SVRTY_SHORT_DESC","WTHR_COND_CD","WTHR_COND_SHORT_DESC","RD_SURF_COND_CD","RD_SURF_SHORT_DESC","LGT_COND_CD","LGT_COND_SHORT_DESC","TRAF_CNTL_DEVICE_CD","TRAF_CNTL_DEVICE_SHORT_DESC","TRAF_CNTL_FUNC_FLG","INVSTG_AGY_CD","INVSTG_AGY_SHORT_DESC","CRASH_EVNT_1_CD","CRASH_EVNT_1_SHORT_DESC","CRASH_EVNT_2_CD","CRASH_EVNT_2_SHORT_DESC","CRASH_EVNT_3_CD","CRASH_EVNT_3_SHORT_DESC","CRASH_CAUSE_1_CD","CRASH_CAUSE_1_SHORT_DESC","CRASH_CAUSE_2_CD","CRASH_CAUSE_2_SHORT_DESC","CRASH_CAUSE_3_CD","CRASH_CAUSE_3_SHORT_DESC","SCHL_ZONE_IND","WRK_ZONE_IND","ALCHL_INVLV_FLG","DRUG_INVLV_FLG","MJ_INVLV_FLG","CRASH_SPEED_INVLV_FLG","CRASH_HIT_RUN_FLG","POP_RNG_CD","POP_RNG_MED_DESC","RD_CNTL_CD","RD_CNTL_MED_DESC","RTE_TYP_CD","RTE_ID","RTE_NM","REG_ID","DIST_ID","SEG_MRK_ID","SEG_PT_LRS_MEAS","UNLOCT_FLG","CRASH_LAST_UD_DT","TOT_VHCL_CNT","TOT_FATAL_CNT","TOT_INJ_LVL_A_CNT","TOT_INJ_LVL_B_CNT","TOT_INJ_LVL_C_CNT","TOT_INJ_CNT","TOT_UNINJD_AGE00_04_CNT","TOT_UNINJD_PER_CNT","TOT_PED_CNT","TOT_PED_FATAL_CNT","TOT_PED_INJ_LVL_A_CNT","TOT_PED_INJ_CNT","TOT_PEDCYCL_CNT","TOT_PEDCYCL_FATAL_CNT","TOT_PEDCYCL_INJ_LVL_A_CNT","TOT_PEDCYCL_INJ_CNT","TOT_UNKNWN_CNT","TOT_UNKNWN_FATAL_CNT","TOT_UNKNWN_INJ_CNT","TOT_OCCUP_CNT","TOT_PER_INVLV_CNT","TOT_SFTY_EQUIP_USED_QTY","TOT_SFTY_EQUIP_UNUSED_QTY","TOT_SFTY_EQUIP_USE_UNKNOWN_QTY","TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT","TOT_MCYCLST_FATAL_CNT","TOT_MCYCLST_INJ_LVL_A_CNT","TOT_MCYCLST_INJ_CNT","TOT_MCYCLST_UNHELMTD_FATAL_CNT","TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT","TOT_DRVR_AGE_01_20_CNT","LANE_RDWY_DPRT_CRASH_FLG"
"1725683","00030","2017-02-03 00:00:00","02","03","2017","6","22","10P","25","Morrow","","","","","01","R INTRST","True","006","  ","OLD OREGON TRAIL","1","0","MN","0","R","","000600100S00","45","50","0.750000000000000","-119","37","20.310000000000000","45.833541666666333","-119.622308333332667","","","","","","                            ","","","                            ","","","","0","168.04","70","7","GRADE   ","True","","","False","False","False","4","","2","DIVMD","06","8","FIX OBJ   ","9","FIX     ","5","PDO","4","SLT ","4","ICE ","3","DARK","099","UNKNOWN   ","True","1","STATE ","079","DITCH     ","022","CN BROKE  ","021","TRL OTRN  ","01","TOO-FAST","","","","","0","0","False","False","False","True","False","","","5","RURAL HWY SYSTEM","IS","84   ","I-84      ","5","12 ","293_9000","550.622168350903","False","2018-05-04 09:14:39","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","Y"
"1725781","06464","2017-10-16 00:00:00","10","16","2017","2","13","1P ","34","Washington","211","Tigard","57","PORTLAND UA    ","11","U INTRST","True","001","  ","PACIFIC","1","0","MN","0","R","","000100100S00","45","24","8.420000000000000","-122","44","42.050000000000000","45.402338888888000","-122.745013888888333","","","","","01105  ","PACIFIC HY I-5              ","","09403  ","SB EF U BOONES F C5         ","","1","","5","290.9","55","7","GRADE   ","False","","","False","False","False","8","","1","RSDMD","10","C","S-STRGHT  ","3","REAR    ","5","PDO","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","0","NONE  ","","","","","","","29","F AVOID ","","","","","","","False","False","False","False","False","7","50,001 to 100,000","4","URBAN HWY SYSTEM","IS","5    ","I-5       ","1","02B","293_2850","1032.42438746902","False","2018-08-08 08:54:47","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","0","0","N"
"1724687","00065","2017-02-01 00:00:00","02","01","2017","4","21","9P ","01","Baker","","","","","01","R INTRST","True","006","  ","OLD OREGON TRAIL","2","0","MN","0","R","","000600200S00","44","37","43.240000000000000","-117","31","1.720000000000000","44.628677777777667","-117.517144444443667","","","","","","                            ","","","                            ","","","","0","323.27","70","5","CURVE   ","False","","","False","False","False","4","","2","DIVMD","04","0","NON-COLL  ","8","NCOL    ","5","PDO","2","CLD ","4","ICE ","3","DARK","000","NONE      ","True","1","STATE ","020","JACKNIFE  ","079","DITCH     ","129","HILL INV  ","01","TOO-FAST","","","","","0","0","False","False","False","True","False","","","5","RURAL HWY SYSTEM","IS","84   ","I-84      ","5","13 ","293_25852","14396.8068648165","False","2018-04-30 11:20:49","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","N"
"1724730","00073","2017-02-04 00:00:00","02","04","2017","7","04","4A ","01","Baker","","","","","01","R INTRST","True","006","  ","OLD OREGON TRAIL","2","0","MN","0","R","","000600200S00","44","59","59.930000000000000","-117","54","16.930000000000000","44.999980555555333","-117.904702777777000","","","","","","                            ","","","                            ","","","","0","287.75","70","3","STRGHT  ","False","","","False","False","False","4","","2","DIVMD","04","0","NON-COLL  ","8","NCOL    ","5","PDO","0","UNK ","4","ICE ","3","DARK","099","UNKNOWN   ","True","1","STATE ","079","DITCH     ","020","JACKNIFE  ","124","SLIPPERY  ","01","TOO-FAST","","","","","0","0","False","False","False","True","False","","","5","RURAL HWY SYSTEM","IS","84   ","I-84      ","5","13 ","293_5385","8225.60695623442","False","2018-04-30 11:20:52","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","2","0","0","0","0","0","0","0","N"
"1724744","13147","2017-11-26 00:00:00","11","26","2017","1","15","3P ","26","Multnomah","247","Portland SW","57","PORTLAND UA    ","11","U INTRST","True","061","  ","STADIUM FREEWAY","1","0","MN","0","R","","006100100S00","45","30","19.440000000000000","-122","40","33.930000000000000","45.505400000000000","-122.676091666666667","","","","","00323  ","STADIUM FY                  ","","09551  ","WB EF MARQUAM BR C1         ","","1","","7","0.59","50","3","STRGHT  ","False","","","False","False","False","4","","1","RSDMD","03","C","S-STRGHT  ","5","SS-O    ","5","PDO","3","RAIN","2","WET ","1","DAY ","099","UNKNOWN   ","True","3","CITY  ","","","","","","","13","IMP LN C","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","IS","405  ","IS 405    ","1","02B","293_5696","1505.76740190113","False","2018-08-08 09:08:04","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","0","0","N"
"1724755","13264","2017-11-29 00:00:00","11","29","2017","4","07","7A ","26","Multnomah","242","Portland N","57","PORTLAND UA    ","11","U INTRST","True","001","  ","PACIFIC","1","0","MN","0","R","","000100100S00","45","33","46.520000000000000","-122","40","43.280000000000000","45.562922222222000","-122.678688888888667","","","","","00322  ","PACIFIC HY I-5              ","","09424  ","SB EX MINNESOTA C2          ","","1","","5","304.44","55","3","STRGHT  ","False","","","False","False","False","6","","1","RSDMD","08","C","S-STRGHT  ","5","SS-O    ","5","PDO","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","3","CITY  ","","","","","","","13","IMP LN C","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","IS","5    ","I-5       ","1","02B","293_2893","2659.59118740947","False","2018-08-08 09:08:02","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","2","0","0","0","0","0","0","0","N"
"1724819","03279","2017-08-10 00:00:00","08","10","2017","5","06","6A ","03","Clackamas","","","57","PORTLAND UA    ","11","U INTRST","True","064","  ","EAST PORTLAND FREEWAY","1","0","MN","0","R","","006400100S00","45","24","16.650000000000000","-122","34","16.400000000000000","45.404625000000000","-122.571222222221667","","","","","","                            ","","","                            ","","","","0","12.5","55","3","STRGHT  ","True","","","False","False","False","6","","1","RSDMD","01","8","FIX OBJ   ","9","FIX     ","5","PDO","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","1","STATE ","073","IRRGL PVMT","","","","","30","SPEED   ","26","PHANTOM ","","","0","0","False","False","False","True","False","","","8","SUBURBAN HWY SYSTEM","IS","205  ","IS 205    ","1","02B","293_6192","164.974356299249","False","2018-04-30 11:20:57","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","Y"
"1724862","06732","2017-04-13 00:00:00","04","13","2017","5","15","3P ","26","Multnomah","245","Portland SE","57","PORTLAND UA    ","11","U INTRST","True","064","  ","EAST PORTLAND FREEWAY","2","0","MN","0","R","","006400200S00","45","30","3.600000000000000","-122","33","55.680000000000000","45.501000000000000","-122.565466666666000","","","","","00745  ","EAST PORTLAND FY            ","","09718  ","SB EF DIV-POWELL C9         ","","1","","1","19.36","55","3","STRGHT  ","False","","","False","False","False","6","","2","DIVMD","04","C","S-STRGHT  ","3","REAR    ","5","PDO","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","0","NONE  ","","","","","","","29","F AVOID ","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","IS","205  ","IS 205    ","1","02B","293_5865","603.255433073169","False","2018-08-08 09:08:03","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","4","3","0","1","0","0","0","0","0","0","0","N"
"1725815","03892","2017-04-04 00:00:00","04","04","2017","3","08","8A ","26","Multnomah","243","Portland NE","57","PORTLAND UA    ","11","U INTRST","True","002","  ","COLUMBIA RIVER","2","0","MN","0","R","","000200200S00","45","32","51.370000000000000","-122","32","52.540000000000000","45.547602777777333","-122.547927777777333","","","","","00305  ","BANFIELD FY                 ","","09531  ","WB BNFLD-NB E PTLD          ","","1","","3","7.25","55","3","STRGHT  ","False","","","False","False","False","6","","1","RSDMD","07","E","S-1STOP   ","3","REAR    ","5","PDO","1","CLR ","2","WET ","1","DAY ","099","UNKNOWN   ","True","0","NONE  ","","","","","","","29","F AVOID ","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","IS","84   ","I-84      ","1","02B","293_3967","134.622326357943","False","2018-08-08 09:08:02","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","0","0","N"
"1725824","03898","2017-04-15 00:00:00","04","15","2017","7","00","12A","26","Multnomah","65","Fairview","57","PORTLAND UA    ","11","U INTRST","True","002","  ","COLUMBIA RIVER","1","0","MN","0","R","","000200100S00","45","32","30.380000000000000","-122","26","2.340000000000000","45.541772222221333","-122.433983333333333","","","","","00403  ","COLUMBIA RIVER HY           ","","09302  ","EB ENFR 207TH AVE           ","","1","","3","15.18","60","3","STRGHT  ","True","","","False","False","False","4","","1","RSDMD","04","8","FIX OBJ   ","9","FIX     ","5","PDO","1","CLR ","1","DRY ","2","DLIT","017","MEDIAN BAR","True","3","CITY  ","119","JERSEY BAR","010","SUB OTRN  ","","","32","CARELESS","16","FATIGUE ","","","","","False","True","False","False","False","4","5,001 to 10,000","4","URBAN HWY SYSTEM","IS","84   ","I-84      ","1","02B","293_3848","2187.5008984075","False","2018-08-07 17:39:24","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","Y"
