"JRSDCT_GRP_CD","JRSDCT_GRP_LONG_DESC","JRSDCT_GRP_MED_DESC","JRSDCT_GRP_SHORT_DESC","JRSDCT_GRP_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"1 ","National Forest Service","NATIONAL FOREST","NFS","","2002-03-20 00:00:00","CONVERT "
"2 ","State Forest Service","STATE FOREST","SFS","","2002-03-20 00:00:00","CONVERT "
"3 ","National Park","NATIONAL PARK","NP ","","2002-03-20 00:00:00","CONVERT "
"4 ","State Park","STATE PARK","SP ","","2002-03-20 00:00:00","CONVERT "
"5 ","Bureau of Land Management","BLM","BLM","","2002-03-20 00:00:00","CONVERT "
"6 ","Indian Reservation","RESERVATION","RES","","2002-03-20 00:00:00","CONVERT "
"7 ","Other Federal Jurisdiction","OTHER FEDERAL ","FED","","2002-03-20 00:00:00","CONVERT "
"8 ","Other Type Jurisdiction (non-federal land)","OTHER NON-FED","OTH","","2002-03-20 00:00:00","CONVERT "
"9 ","Unknown Jurisdiction","UNKNOWN ","UNK","","2002-03-20 00:00:00","CONVERT "
